Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,,Arc,STANDARD,SYBR,None,32.339,31.882,0.646,64.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,26,Amp,,0.947,N,Y,81.412,,,
3,A3,FALSE,,Arc,STANDARD,SYBR,None,31.425,31.882,0.646,64.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,25,Amp,,0.954,N,Y,81.551,,,
4,A4,FALSE,,Bdnf1,STANDARD,SYBR,None,20.575,20.010,0.585,64.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,16,Amp,,0.595,Y,Y,86.139,,,
5,A5,FALSE,,Bdnf1,STANDARD,SYBR,None,20.047,20.010,0.585,64.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,16,Amp,,0.482,Y,Y,86.696,,,
6,A6,FALSE,,Bdnf1,STANDARD,SYBR,None,19.407,20.010,0.585,64.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,16,Amp,,0.487,Y,Y,86.696,,,
7,A7,FALSE,,Cam2a1,STANDARD,SYBR,None,19.765,19.332,0.470,64.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,14,Amp,,0.978,N,N,84.332,,,
8,A8,FALSE,,Cam2a1,STANDARD,SYBR,None,19.400,19.332,0.470,64.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,14,Amp,,0.979,N,N,84.332,,,
9,A9,FALSE,,Cam2a1,STANDARD,SYBR,None,18.832,19.332,0.470,64.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,13,Amp,,0.959,N,N,84.332,,,
10,A10,FALSE,,Fmr1,STANDARD,SYBR,None,29.998,28.522,1.326,64.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,25,Amp,,0.971,N,Y,86.557,,,
11,A11,FALSE,,Fmr1,STANDARD,SYBR,None,28.139,28.522,1.326,64.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,24,Amp,,0.948,N,Y,86.696,,,
12,A12,FALSE,,Fmr1,STANDARD,SYBR,None,27.429,28.522,1.326,64.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,24,Amp,,0.903,N,Y,86.835,,,
14,B2,FALSE,,Arc,STANDARD,SYBR,None,33.224,32.685,0.762,32.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,26,Amp,,0.976,N,Y,81.690,,,
15,B3,FALSE,,Arc,STANDARD,SYBR,None,32.147,32.685,0.762,32.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,25,Amp,,0.964,N,Y,81.690,,,
16,B4,FALSE,,Bdnf1,STANDARD,SYBR,None,22.175,20.988,1.080,32.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,18,Amp,,0.597,Y,Y,86.418,,,
17,B5,FALSE,,Bdnf1,STANDARD,SYBR,None,20.725,20.988,1.080,32.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,16,Amp,,0.533,Y,Y,86.696,,,
18,B6,FALSE,,Bdnf1,STANDARD,SYBR,None,20.064,20.988,1.080,32.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,16,Amp,,0.582,Y,Y,86.696,,,
19,B7,FALSE,,Cam2a1,STANDARD,SYBR,None,23.145,20.941,2.019,32.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,16,Amp,,0.996,N,Y,84.193,,,
20,B8,FALSE,,Cam2a1,STANDARD,SYBR,None,20.499,20.941,2.019,32.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,14,Amp,,0.995,N,Y,84.332,,,
21,B9,FALSE,,Cam2a1,STANDARD,SYBR,None,19.180,20.941,2.019,32.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,13,Amp,,0.913,N,Y,84.332,,,
22,B10,FALSE,,Fmr1,STANDARD,SYBR,None,30.433,29.194,1.148,32.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,25,Amp,,0.989,N,Y,86.557,,,
23,B11,FALSE,,Fmr1,STANDARD,SYBR,None,28.984,29.194,1.148,32.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,24,Amp,,0.976,N,Y,86.696,,,
24,B12,FALSE,,Fmr1,STANDARD,SYBR,None,28.166,29.194,1.148,32.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,24,Amp,,0.945,N,Y,86.557,,,
25,C1,FALSE,,Arc,STANDARD,SYBR,None,34.982,33.863,1.114,16.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,28,Amp,,0.985,N,Y,81.551,,,
26,C2,FALSE,,Arc,STANDARD,SYBR,None,33.850,33.863,1.114,16.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,27,Amp,,0.989,N,Y,81.551,,,
27,C3,FALSE,,Arc,STANDARD,SYBR,None,32.755,33.863,1.114,16.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,26,Amp,,0.979,N,Y,81.690,,,
28,C4,FALSE,,Bdnf1,STANDARD,SYBR,None,24.325,22.339,1.877,16.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,20,Amp,,0.696,Y,Y,86.279,,,
29,C5,FALSE,,Bdnf1,STANDARD,SYBR,None,22.095,22.339,1.877,16.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,18,Amp,,0.598,Y,Y,86.557,,,
30,C6,FALSE,,Bdnf1,STANDARD,SYBR,None,20.595,22.339,1.877,16.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,16,Amp,,0.558,Y,Y,86.696,,,
31,C7,FALSE,,Cam2a1,STANDARD,SYBR,None,24.373,22.066,2.119,16.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,18,Amp,,0.997,N,Y,84.193,,,
32,C8,FALSE,,Cam2a1,STANDARD,SYBR,None,21.619,22.066,2.119,16.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,16,Amp,,0.998,N,Y,84.471,,,
33,C9,FALSE,,Cam2a1,STANDARD,SYBR,None,20.206,22.066,2.119,16.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,15,Amp,,0.943,N,Y,84.332,,,
35,C11,FALSE,,Fmr1,STANDARD,SYBR,None,31.113,30.035,1.525,16.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,26,Amp,,0.982,N,Y,86.696,,,
36,C12,FALSE,,Fmr1,STANDARD,SYBR,None,28.957,30.035,1.525,16.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,24,Amp,,0.963,N,Y,86.696,,,
38,D2,FALSE,,Arc,STANDARD,SYBR,None,32.918,32.918,,8.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,25,Amp,,0.992,N,N,81.551,,,
40,D4,FALSE,,Bdnf1,STANDARD,SYBR,None,24.645,23.007,1.541,8.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,20,Amp,,0.700,Y,Y,86.279,,,
41,D5,FALSE,,Bdnf1,STANDARD,SYBR,None,22.791,23.007,1.541,8.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,18,Amp,,0.592,Y,Y,86.557,,,
42,D6,FALSE,,Bdnf1,STANDARD,SYBR,None,21.585,23.007,1.541,8.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,17,Amp,,0.584,Y,Y,86.557,,,
