Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,BHK,Rpl19,UNKNOWN,SYBR,None,19.471,19.246,0.239,,,,,,,,TRUE,0.700,TRUE,3,14,Amp,,0.962,N,82.520,,,
2,A2,FALSE,BHK,Rpl19,UNKNOWN,SYBR,None,18.995,19.246,0.239,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.969,N,82.659,,,
3,A3,FALSE,BHK,Rpl19,UNKNOWN,SYBR,None,19.271,19.246,0.239,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.990,N,82.520,,,
4,A4,FALSE,BHM,Rpl19,UNKNOWN,SYBR,None,19.126,18.766,0.313,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.978,N,82.520,,,
5,A5,FALSE,BHM,Rpl19,UNKNOWN,SYBR,None,18.556,18.766,0.313,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.783,N,82.659,,,
6,A6,FALSE,BHM,Rpl19,UNKNOWN,SYBR,None,18.617,18.766,0.313,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.952,N,82.520,,,
7,A7,FALSE,,Fmr1,STANDARD,SYBR,None,32.729,33.192,0.590,"16,384.000",,,40.955,0.679,-1.842,249.050,TRUE,0.661,TRUE,3,26,Amp,,0.941,Y,86.690,,,
8,A8,FALSE,,Fmr1,STANDARD,SYBR,None,33.857,33.192,0.590,"16,384.000",,,40.955,0.679,-1.842,249.050,TRUE,0.661,TRUE,3,27,Amp,,0.955,Y,86.829,,,
9,A9,FALSE,,Fmr1,STANDARD,SYBR,None,32.991,33.192,0.590,"16,384.000",,,40.955,0.679,-1.842,249.050,TRUE,0.661,TRUE,3,26,Amp,,0.946,Y,86.690,,,
10,A10,FALSE,,Prkci,STANDARD,SYBR,None,23.016,23.436,0.428,"16,384.000",,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,16,Amp,,0.963,N,80.435,,,
11,A11,FALSE,,Prkci,STANDARD,SYBR,None,23.421,23.436,0.428,"16,384.000",,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,17,Amp,,0.958,N,80.435,,,
12,A12,FALSE,,Prkci,STANDARD,SYBR,None,23.872,23.436,0.428,"16,384.000",,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,17,Amp,,0.969,N,80.574,,,
13,B1,FALSE,BOA,Rpl19,UNKNOWN,SYBR,None,18.977,19.101,0.108,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.974,N,82.520,,,
14,B2,FALSE,BOA,Rpl19,UNKNOWN,SYBR,None,19.164,19.101,0.108,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.986,N,82.520,,,
15,B3,FALSE,BOA,Rpl19,UNKNOWN,SYBR,None,19.162,19.101,0.108,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.991,N,82.381,,,
