count,gene,sample,ind,time,region,APA,strain,year
3,pkmz,2,a wt,AM,CA1,Trained,B6,2014
3,pkmz,2,a wt,AM,CA1,Trained,B6,2014
4,pkmz,2,a wt,AM,CA1,Trained,B6,2014
3,pkmz,5,b ,AM,CA1,Trained,fmr1,2014
5,pkmz,5,b ,AM,CA1,Trained,fmr1,2014
1,pkmz,5,b ,AM,CA1,Trained,fmr1,2014
26,pkmz,7,c,AM,CA1,Trained,fmr1,2014
25,pkmz,7,c,AM,CA1,Trained,fmr1,2014
24,pkmz,7,c,AM,CA1,Trained,fmr1,2014
7,pkmz,9,f,AM,CA1,Trained,fmr1,2014
5,pkmz,9,f,AM,CA1,Trained,fmr1,2014
2,pkmz,9,f,AM,CA1,Trained,fmr1,2014
3,pkmz,11,h,AM,CA1,Trained,fmr1,2014
4,pkmz,11,h,AM,CA1,Trained,fmr1,2014
3,pkmz,11,h,AM,CA1,Trained,fmr1,2014
0,pkmz,13,j,AM,CA1,Trained,fmr1,2014
2,pkmz,13,j,AM,CA1,Trained,fmr1,2014
0,pkmz,13,j,AM,CA1,Trained,fmr1,2014
2,pkmz,18,BL 9,AM,CA3,Trained,B6,2013
0,pkmz,18,BL 9,AM,CA3,Trained,B6,2013
2,pkmz,18,BL 9,AM,CA3,Trained,B6,2013
4,pkmz,22,BL 19,PM,CA3,Trained,B6,2013
6,pkmz,22,BL 19,PM,CA3,Trained,B6,2013
10,pkmz,22,BL 19,PM,CA3,Trained,B6,2013
0,pkmz,25,BL 11,AM,CA3,Trained,B6,2013
12,pkmz,25,BL 11,AM,CA3,Trained,B6,2013
3,pkmz,25,BL 11,AM,CA3,Trained,B6,2013
9,pkmz,26,BL 3,AM,CA3,Trained,B6,2013
0,pkmz,26,BL 3,AM,CA3,Trained,B6,2013
11,pkmz,26,BL 3,AM,CA3,Trained,B6,2013
5,pkmz,27,BL 5,AM,CA3,Trained,B6,2013
8,pkmz,27,BL 5,AM,CA3,Trained,B6,2013
3,pkmz,27,BL 5,AM,CA3,Trained,B6,2013
2,pkmz,28,BL 13,PM,CA3,Trained,B6,2013
3,pkmz,28,BL 13,PM,CA3,Trained,B6,2013
11,pkmz,28,BL 13,PM,CA3,Trained,B6,2013
67,pkmz,31,BL 15,PM,CA3,Trained,B6,2013
49,pkmz,31,BL 15,PM,CA3,Trained,B6,2013
67,pkmz,31,BL 15,PM,CA3,Trained,B6,2013
36,pkmz,32,BL 7,AM,CA3,Trained,B6,2013
40,pkmz,32,BL 7,AM,CA3,Trained,B6,2013
52,pkmz,32,BL 7,AM,CA3,Trained,B6,2013
1,pkmz,33,BL 1,AM,CA3,Trained,B6,2013
8,pkmz,33,BL 1,AM,CA3,Trained,B6,2013
2,pkmz,33,BL 1,AM,CA3,Trained,B6,2013
5,pkmz,34,BL 2,AM,CA3,Trained,B6,2013
4,pkmz,34,BL 2,AM,CA3,Trained,B6,2013
4,pkmz,34,BL 2,AM,CA3,Trained,B6,2013
3,grim,2,a wt,AM,CA1,Trained,B6,2014
9,grim,2,a wt,AM,CA1,Trained,B6,2014
8,grim,2,a wt,AM,CA1,Trained,B6,2014
12,grim,5,b ,AM,CA1,Trained,fmr1,2014
15,grim,5,b ,AM,CA1,Trained,fmr1,2014
10,grim,5,b ,AM,CA1,Trained,fmr1,2014
23,grim,7,c,AM,CA1,Trained,fmr1,2014
26,grim,7,c,AM,CA1,Trained,fmr1,2014
24,grim,7,c,AM,CA1,Trained,fmr1,2014
4,grim,9,f,AM,CA1,Trained,fmr1,2014
6,grim,9,f,AM,CA1,Trained,fmr1,2014
6,grim,9,f,AM,CA1,Trained,fmr1,2014
2,grim,11,h,AM,CA1,Trained,fmr1,2014
5,grim,11,h,AM,CA1,Trained,fmr1,2014
3,grim,11,h,AM,CA1,Trained,fmr1,2014
0,grim,13,j,AM,CA1,Trained,fmr1,2014
2,grim,13,j,AM,CA1,Trained,fmr1,2014
0,grim,13,j,AM,CA1,Trained,fmr1,2014
1,grim,18,BL 9,AM,CA3,Trained,B6,2013
1,grim,18,BL 9,AM,CA3,Trained,B6,2013
1,grim,18,BL 9,AM,CA3,Trained,B6,2013
2,grim,22,BL 19,PM,CA3,Trained,B6,2013
4,grim,22,BL 19,PM,CA3,Trained,B6,2013
5,grim,22,BL 19,PM,CA3,Trained,B6,2013
2,grim,25,BL 11,AM,CA3,Trained,B6,2013
1,grim,25,BL 11,AM,CA3,Trained,B6,2013
3,grim,25,BL 11,AM,CA3,Trained,B6,2013
0,grim,26,BL 3,AM,CA3,Trained,B6,2013
0,grim,26,BL 3,AM,CA3,Trained,B6,2013
2,grim,26,BL 3,AM,CA3,Trained,B6,2013
2,grim,27,BL 5,AM,CA3,Trained,B6,2013
2,grim,27,BL 5,AM,CA3,Trained,B6,2013
3,grim,27,BL 5,AM,CA3,Trained,B6,2013
1,grim,28,BL 13,PM,CA3,Trained,B6,2013
1,grim,28,BL 13,PM,CA3,Trained,B6,2013
18,grim,31,BL 15,PM,CA3,Trained,B6,2013
16,grim,31,BL 15,PM,CA3,Trained,B6,2013
17,grim,31,BL 15,PM,CA3,Trained,B6,2013
12,grim,32,BL 7,AM,CA3,Trained,B6,2013
12,grim,32,BL 7,AM,CA3,Trained,B6,2013
11,grim,32,BL 7,AM,CA3,Trained,B6,2013
0,grim,33,BL 1,AM,CA3,Trained,B6,2013
0,grim,33,BL 1,AM,CA3,Trained,B6,2013
1,grim,33,BL 1,AM,CA3,Trained,B6,2013
0,grim,34,BL 2,AM,CA3,Trained,B6,2013
0,grim,34,BL 2,AM,CA3,Trained,B6,2013
0,grim,34,BL 2,AM,CA3,Trained,B6,2013
1227,rpl19,2,a wt,AM,CA1,Trained,B6,2014
1209,rpl19,2,a wt,AM,CA1,Trained,B6,2014
1157,rpl19,2,a wt,AM,CA1,Trained,B6,2014
1611,rpl19,5,b ,AM,CA1,Trained,fmr1,2014
1533,rpl19,5,b ,AM,CA1,Trained,fmr1,2014
1380,rpl19,5,b ,AM,CA1,Trained,fmr1,2014
21912,rpl19,7,c,AM,CA1,Trained,fmr1,2014
19612,rpl19,7,c,AM,CA1,Trained,fmr1,2014
714,rpl19,9,f,AM,CA1,Trained,fmr1,2014
696,rpl19,9,f,AM,CA1,Trained,fmr1,2014
642,rpl19,9,f,AM,CA1,Trained,fmr1,2014
2515,rpl19,11,h,AM,CA1,Trained,fmr1,2014
2488,rpl19,11,h,AM,CA1,Trained,fmr1,2014
2343,rpl19,11,h,AM,CA1,Trained,fmr1,2014
1252,rpl19,13,j,AM,CA1,Trained,fmr1,2014
1214,rpl19,13,j,AM,CA1,Trained,fmr1,2014
1196,rpl19,13,j,AM,CA1,Trained,fmr1,2014
6,rpl19,18,BL 9,AM,CA3,Trained,B6,2013
4,rpl19,18,BL 9,AM,CA3,Trained,B6,2013
3,rpl19,18,BL 9,AM,CA3,Trained,B6,2013
15,rpl19,22,BL 19,PM,CA3,Trained,B6,2013
8,rpl19,22,BL 19,PM,CA3,Trained,B6,2013
10,rpl19,22,BL 19,PM,CA3,Trained,B6,2013
17,rpl19,25,BL 11,AM,CA3,Trained,B6,2013
17,rpl19,25,BL 11,AM,CA3,Trained,B6,2013
16,rpl19,25,BL 11,AM,CA3,Trained,B6,2013
3,rpl19,26,BL 3,AM,CA3,Trained,B6,2013
4,rpl19,26,BL 3,AM,CA3,Trained,B6,2013
10,rpl19,26,BL 3,AM,CA3,Trained,B6,2013
6,rpl19,27,BL 5,AM,CA3,Trained,B6,2013
3,rpl19,27,BL 5,AM,CA3,Trained,B6,2013
9,rpl19,27,BL 5,AM,CA3,Trained,B6,2013
2,rpl19,28,BL 13,PM,CA3,Trained,B6,2013
5,rpl19,28,BL 13,PM,CA3,Trained,B6,2013
1,rpl19,28,BL 13,PM,CA3,Trained,B6,2013
39,rpl19,31,BL 15,PM,CA3,Trained,B6,2013
38,rpl19,31,BL 15,PM,CA3,Trained,B6,2013
31,rpl19,31,BL 15,PM,CA3,Trained,B6,2013
20,rpl19,32,BL 7,AM,CA3,Trained,B6,2013
32,rpl19,32,BL 7,AM,CA3,Trained,B6,2013
25,rpl19,32,BL 7,AM,CA3,Trained,B6,2013
14,rpl19,33,BL 1,AM,CA3,Trained,B6,2013
15,rpl19,33,BL 1,AM,CA3,Trained,B6,2013
14,rpl19,33,BL 1,AM,CA3,Trained,B6,2013
16,rpl19,34,BL 2,AM,CA3,Trained,B6,2013
18,rpl19,34,BL 2,AM,CA3,Trained,B6,2013
10,rpl19,34,BL 2,AM,CA3,Trained,B6,2013
140,rRNA18S,2,a wt,AM,CA1,Trained,B6,2014
119,rRNA18S,2,a wt,AM,CA1,Trained,B6,2014
106,rRNA18S,2,a wt,AM,CA1,Trained,B6,2014
120,rRNA18S,5,b ,AM,CA1,Trained,fmr1,2014
107,rRNA18S,5,b ,AM,CA1,Trained,fmr1,2014
77,rRNA18S,5,b ,AM,CA1,Trained,fmr1,2014
382,rRNA18S,7,c,AM,CA1,Trained,fmr1,2014
302,rRNA18S,7,c,AM,CA1,Trained,fmr1,2014
258,rRNA18S,7,c,AM,CA1,Trained,fmr1,2014
120,rRNA18S,9,f,AM,CA1,Trained,fmr1,2014
111,rRNA18S,9,f,AM,CA1,Trained,fmr1,2014
92,rRNA18S,9,f,AM,CA1,Trained,fmr1,2014
74,rRNA18S,11,h,AM,CA1,Trained,fmr1,2014
68,rRNA18S,11,h,AM,CA1,Trained,fmr1,2014
61,rRNA18S,11,h,AM,CA1,Trained,fmr1,2014
42,rRNA18S,13,j,AM,CA1,Trained,fmr1,2014
