,pkmz,grim,rpl19,ind,time,region,APA,strained,group,sample,cdna.sample,conc,pkmz.norm,grim.norm,rpl19.norm
65,2.660285568,2.174881576,14.4228811,j,AM,CA1,trained,fmr1,8,j,Sample 8,0.98,2.71457711,2.219266915,5.313122638
13,2.660401324,2.17454481,14.42311212,j,AM,CA1,trained,fmr1,8,j,Sample 8,0.98,2.714695229,2.218923275,5.312976561
63,6.209016339,6.560887775,13.58965867,f,AM,CA1,trained,fmr1,8,f,Sample 12,1.92,3.233862677,3.417129049,4.202299241
9,6.210468003,6.565572532,13.58972809,f,AM,CA1,trained,fmr1,8,f,Sample 12,1.92,3.234618751,3.419569027,4.201338436
59,6.708549182,6.593272973,15.67460427,k,AM,CA1,control,fmr1,1,k,Sample 16,1.44,4.65871471,4.578661787,3.36457698
14,6.710381641,6.592112807,15.67485587,k,AM,CA1,control,fmr1,1,k,Sample 16,1.44,4.65998725,4.577856116,3.36371218
5,5.518440663,7.744041356,14.72320945,b ,AM,CA1,trained,fmr1,8,b,Sample 4,0.95,5.808884909,8.151622479,2.534601681
61,5.518827937,7.741082131,14.72344017,b ,AM,CA1,trained,fmr1,8,b,Sample 4,0.95,5.809292565,8.148507507,2.534463535
64,5.88048904,5.794014627,15.42895452,h,AM,CA1,trained,fmr1,8,h,Sample 17,1,5.88048904,5.794014627,2.623753639
11,5.882479863,5.794817728,15.42826832,h,AM,CA1,trained,fmr1,8,h,Sample 17,1,5.882479863,5.794817728,2.622749025
58,7.484628587,6.861669115,15.09308363,i,AM,CA1,control,fmr1,1,i,Sample 2,1.07,6.994979987,6.412774874,2.157702189
12,7.485926513,6.86892665,15.09229371,i,AM,CA1,control,fmr1,1,i,Sample 2,1.07,6.996193002,6.419557617,2.157215175
56,7.258913893,6.928153136,16.59096483,e,AM,CA1,control,fmr1,1,e,Sample 6,1.02,7.116582248,6.792306996,2.331310769
8,7.260406465,6.929387804,16.59073526,e,AM,CA1,control,fmr1,1,e,Sample 6,1.02,7.118045554,6.793517455,2.330799253
60,5.853252616,6.718690392,14.39355936,a wt,AM,CA1,trained,wt,4,a  wt,Sample 3,0.73,8.018154268,9.203685468,1.79512128
2,5.853717685,6.713787955,14.39315689,a wt,AM,CA1,trained,wt,4,a  wt,Sample 3,0.73,8.018791349,9.196969802,1.794928471
55,6.106512405,6.110684445,15.14299371,a,AM,CA1,control,fmr1,1,a,Sample 9,0.71,8.600721697,8.60659781,1.760665471
1,6.10887123,6.113176468,15.14397199,a,AM,CA1,control,fmr1,1,a,Sample 9,0.71,8.604043987,8.610107702,1.760099322
54,4.838359405,6.224260222,14.3043534,ab,AM,CA1,control,wt,2,ab,Sample 13,0.51,9.486979226,12.20443181,1.507787997
4,4.838452794,6.223523001,14.30452718,ab,AM,CA1,control,wt,2,ab,Sample 13,0.51,9.487162341,12.20298628,1.507777211
49,3.31503761,3.127415693,9.73353051,BL5,AM,CA1,trained,wt,5,,5,0.29,11.43116417,10.78419204,0.851490746
51,5.154774084,5.818500465,11.61494158,BL14,AM,CA1,control,wt,3,,14,0.41,12.57261972,14.19146455,0.923828275
43,5.031630261,5.006024892,10.47064725,BL12,AM,CA1,control,wt,3,,12,0.32,15.72384457,15.64382779,0.66590885
41,5.773303601,6.68139273,11.83400364,BL13,PM,CA1,trained,wt,5,,13,0.35,16.49515315,19.08969351,0.717423084
47,7.811770945,9.514145353,14.42416306,BL15,PM,CA1,trained,wt,5,,15,0.35,22.31934556,27.18327244,0.646262814
50,5.739389299,4.694228177,10.60178125,BL18,AM,CA1,control,wt,3,,18,0.25,22.9575572,18.77691271,0.461799187
53,5.18209566,5.963394152,11.92717856,BL6,AM,CA1,control,wt,3,,6,0.2,25.9104783,29.81697076,0.460322593
39,2.016868337,4.891587035,11.32734467,BL19,PM,CA1,trained,wt,5,,19,0.041,49.19191066,119.3070009,0.230268443
44,3.727947525,1.681857982,9.655702848,BL10,PM,CA1,control,wt,3,,10,0.067,55.64100783,25.10235794,0.173535729
52,7.819970834,8.049912453,13.01644818,BL17,AM,CA1,trained,wt,5,,17,0.11,71.09064394,73.1810223,0.183096501
38,7.199739937,6.289696634,12.28691044,BL16,AM,CA1,control,wt,3,,16,0.087,82.75563146,72.29536361,0.148472197
42,4.502477742,3.750076352,11.332281,BL4,AM,CA1,control,wt,3,,4,0.05,90.04955484,75.00152703,0.125844942
36,6.295745061,7.514012112,12.41858491,BL7,AM,CA1,trained,wt,5,,7,0.052,121.0720204,144.5002329,0.102571881
48,6.483124752,8.037854726,13.58265974,BL9,AM,CA1,trained,wt,5,,9,0.04,162.0781188,200.9463682,0.083803167
40,4.529170973,2.235581392,10.80239014,BL3,AM,CA1,trained,wt,5,,3,0.0094,481.8266993,237.8278077,0.022419659
