dna	cq	gene
50	29.96207237	grim
50	30.20425224	grim
50	29.91588974	grim
25	31.29050446	grim
25	30.87676239	grim
25	30.99122429	grim
12.5	32.09952927	grim
12.5	32.33097839	grim
12.5	32.26354218	grim
12.5	32.20239639	grim
6.25	33.04304504	grim
6.25	33.07141495	grim
3.125	34.17142868	grim
3.125	34.48408127	grim
3.125	33.45347214	grim
1.5625	35.12280655	grim
1.5625	35.63723755	grim
1.5625	34.80259705	grim
0.78125	36.73500443	grim
25	28.42368889	pkmz
25	28.22355652	pkmz
25	28.25892067	pkmz
12.5	29.44648933	pkmz
12.5	29.5529747	pkmz
12.5	29.58453751	pkmz
6.25	30.5013485	pkmz
6.25	30.28899193	pkmz
6.25	30.32528877	pkmz
3.125	31.39564514	pkmz
3.125	31.74740982	pkmz
3.125	31.37789917	pkmz
1.5625	32.49758148	pkmz
1.5625	32.63436127	pkmz
1.5625	32.28594208	pkmz
0.78125	33.47859955	pkmz
0.78125	33.40449524	pkmz
0.78125	33.67310715	pkmz
0.390625	34.81908417	pkmz
0.390625	34.2495079	pkmz
0.390625	34.44926453	pkmz
0.1953125	34.73471451	pkmz
0.1953125	34.74892044	pkmz
0.09765625	36.51972961	pkmz
0.09765625	35.86736298	pkmz
0.048827998	34.20454407	rpl19
0.048827998	33.80370712	rpl19
0.048827998	34.33281708	rpl19
50	23.33161545	rpl19
50	23.35741234	rpl19
50	23.18440628	rpl19
25	24.35978699	rpl19
25	24.29130363	rpl19
25	24.47929764	rpl19
12.5	25.68496704	rpl19
12.5	25.41808128	rpl19
12.5	25.31424522	rpl19
6.25	26.57104874	rpl19
6.25	26.75092506	rpl19
6.25	26.24243927	rpl19
3.125	27.44021988	rpl19
3.125	27.51288986	rpl19
3.125	27.44715118	rpl19
1.5625	28.54530907	rpl19
1.5625	28.39568901	rpl19
1.5625	28.89167595	rpl19
0.78125	30.65529251	rpl19
0.78125	29.90510559	rpl19
0.78125	29.87925529	rpl19
0.390625	31.07825851	rpl19
0.390625	30.95285225	rpl19
0.390625	31.19376755	rpl19
0.1953125	31.31419945	rpl19
0.1953125	31.69882965	rpl19
0.1953125	31.83422661	rpl19
0.09765625	33.63306427	rpl19
0.09765625	33.28103638	rpl19
0.09765625	33.87656403	rpl19
