"","count","gene","sample","ID","strain","mouse","neurons","regions","date"
"1",0,"fos","5","K","BL","1","4","CA1 lower","6/28/2014"
"2",0,"fos","5","K","BL","1","4","CA1 lower","6/28/2014"
"3",0,"fos","5","K","BL","1","4","CA1 lower","6/28/2014"
"4",0,"fos","13","U","BL","2","5","CA1 lower","6/30/2014"
"5",0,"fos","13","U","BL","2","5","CA1 lower","6/30/2014"
"6",0,"fos","13","U","BL","2","5","CA1 lower","6/30/2014"
"7",0,"fos","15","W","BL","3","5","CA1 lower","7/1/2014"
"8",0,"fos","15","W","BL","3","5","CA1 lower","7/1/2014"
"9",0,"fos","15","W","BL","3","5","CA1 lower","7/1/2014"
"10",1,"fos","4","J","BL","1","3","CA1 upper","6/28/2014"
"12",0,"fos","4","J","BL","1","3","CA1 upper","6/28/2014"
"13",1,"fos","10","R","BL","2","3","CA1 upper","6/30/2014"
"15",2,"fos","10","R","BL","2","3","CA1 upper","6/30/2014"
"16",0,"fos","14","V","BL","3","3","CA1 upper","7/1/2014"
"17",0,"fos","14","V","BL","3","3","CA1 upper","7/1/2014"
"18",0,"fos","14","V","BL","3","3","CA1 upper","7/1/2014"
"19",6,"fos","1","AA","BL","3","5","DG","7/1/2014"
"21",2,"fos","1","AA","BL","3","5","DG","7/1/2014"
"22",4,"fos","3","AF","BL","4","5","DG","7/1/2014"
"23",3,"fos","3","AF","BL","4","5","DG","7/1/2014"
"24",4,"fos","3","AF","BL","4","5","DG","7/1/2014"
"25",3,"fos","6","L","BL","1","5","DG","6/28/2014"
"26",3,"fos","6","L","BL","1","5","DG","6/28/2014"
"27",1,"fos","6","L","BL","1","5","DG","6/28/2014"
"28",4,"fos","11","S","BL","2","5","DG","6/30/2014"
"29",4,"fos","11","S","BL","2","5","DG","6/30/2014"
"30",10,"fos","11","S","BL","2","5","DG","6/30/2014"
"31",0,"grin","5","K","BL","1","4","CA1 lower","6/28/2014"
"32",1,"grin","5","K","BL","1","4","CA1 lower","6/28/2014"
"33",0,"grin","5","K","BL","1","4","CA1 lower","6/28/2014"
"34",0,"grin","13","U","BL","2","5","CA1 lower","6/30/2014"
"35",0,"grin","13","U","BL","2","5","CA1 lower","6/30/2014"
"36",0,"grin","13","U","BL","2","5","CA1 lower","6/30/2014"
"37",0,"grin","15","W","BL","3","5","CA1 lower","7/1/2014"
"38",1,"grin","15","W","BL","3","5","CA1 lower","7/1/2014"
"39",1,"grin","15","W","BL","3","5","CA1 lower","7/1/2014"
"40",0,"grin","4","J","BL","1","3","CA1 upper","6/28/2014"
"41",0,"grin","4","J","BL","1","3","CA1 upper","6/28/2014"
"42",0,"grin","4","J","BL","1","3","CA1 upper","6/28/2014"
"43",3,"grin","10","R","BL","2","3","CA1 upper","6/30/2014"
"44",3,"grin","10","R","BL","2","3","CA1 upper","6/30/2014"
"45",4,"grin","10","R","BL","2","3","CA1 upper","6/30/2014"
"46",0,"grin","14","V","BL","3","3","CA1 upper","7/1/2014"
"47",0,"grin","14","V","BL","3","3","CA1 upper","7/1/2014"
"48",0,"grin","14","V","BL","3","3","CA1 upper","7/1/2014"
"49",3,"grin","1","AA","BL","3","5","DG","7/1/2014"
"50",0,"grin","1","AA","BL","3","5","DG","7/1/2014"
"51",2,"grin","1","AA","BL","3","5","DG","7/1/2014"
"52",2,"grin","3","AF","BL","4","5","DG","7/1/2014"
"53",2,"grin","3","AF","BL","4","5","DG","7/1/2014"
"54",1,"grin","3","AF","BL","4","5","DG","7/1/2014"
"55",1,"grin","6","L","BL","1","5","DG","6/28/2014"
"56",2,"grin","6","L","BL","1","5","DG","6/28/2014"
"57",3,"grin","6","L","BL","1","5","DG","6/28/2014"
"58",0,"grin","11","S","BL","2","5","DG","6/30/2014"
"59",1,"grin","11","S","BL","2","5","DG","6/30/2014"
"60",2,"grin","11","S","BL","2","5","DG","6/30/2014"
"61",3,"gria","5","K","BL","1","4","CA1 lower","6/28/2014"
"62",1,"gria","5","K","BL","1","4","CA1 lower","6/28/2014"
"63",2,"gria","5","K","BL","1","4","CA1 lower","6/28/2014"
"64",2,"gria","13","U","BL","2","5","CA1 lower","6/30/2014"
"65",2,"gria","13","U","BL","2","5","CA1 lower","6/30/2014"
"66",3,"gria","13","U","BL","2","5","CA1 lower","6/30/2014"
"67",3,"gria","15","W","BL","3","5","CA1 lower","7/1/2014"
"68",2,"gria","15","W","BL","3","5","CA1 lower","7/1/2014"
"69",4,"gria","15","W","BL","3","5","CA1 lower","7/1/2014"
"70",9,"gria","4","J","BL","1","3","CA1 upper","6/28/2014"
"71",3,"gria","4","J","BL","1","3","CA1 upper","6/28/2014"
"72",5,"gria","4","J","BL","1","3","CA1 upper","6/28/2014"
"73",10,"gria","10","R","BL","2","3","CA1 upper","6/30/2014"
"74",15,"gria","10","R","BL","2","3","CA1 upper","6/30/2014"
"75",17,"gria","10","R","BL","2","3","CA1 upper","6/30/2014"
"76",0,"gria","14","V","BL","3","3","CA1 upper","7/1/2014"
"77",3,"gria","14","V","BL","3","3","CA1 upper","7/1/2014"
"78",0,"gria","14","V","BL","3","3","CA1 upper","7/1/2014"
"79",9,"gria","1","AA","BL","3","5","DG","7/1/2014"
"80",10,"gria","1","AA","BL","3","5","DG","7/1/2014"
"81",15,"gria","1","AA","BL","3","5","DG","7/1/2014"
"82",10,"gria","3","AF","BL","4","5","DG","7/1/2014"
"84",9,"gria","3","AF","BL","4","5","DG","7/1/2014"
"85",8,"gria","6","L","BL","1","5","DG","6/28/2014"
"86",6,"gria","6","L","BL","1","5","DG","6/28/2014"
"87",8,"gria","6","L","BL","1","5","DG","6/28/2014"
"88",7,"gria","11","S","BL","2","5","DG","6/30/2014"
"89",5,"gria","11","S","BL","2","5","DG","6/30/2014"
"90",7,"gria","11","S","BL","2","5","DG","6/30/2014"
