"","ind","strain.APA","region","gene","count"
"1","ab","B6 Control","CA1","cam2kd",38.3333333333333
"2","a wt","B6 Trained","CA1","cam2kd",59.5
"3","a","fmr1 Control","CA1","cam2kd",132
"4","e","fmr1 Control","CA1","cam2kd",230.666666666667
"5","g","fmr1 Control","CA1","cam2kd",3.33333333333333
"6","i","fmr1 Control","CA1","cam2kd",168.666666666667
"7","b ","fmr1 Trained","CA1","cam2kd",183
"8","c","fmr1 Trained","CA1","cam2kd",649.666666666667
"9","f","fmr1 Trained","CA1","cam2kd",77
"10","h","fmr1 Trained","CA1","cam2kd",1095
"11","j","fmr1 Trained","CA1","cam2kd",23.6666666666667
"12","BL 10","B6 Control","CA3","cam2kd",5.33333333333333
"13","BL 12","B6 Control","CA3","cam2kd",0.666666666666667
"14","BL 14","B6 Control","CA3","cam2kd",16
"15","BL 18","B6 Control","CA3","cam2kd",8.66666666666667
"16","BL 4","B6 Control","CA3","cam2kd",3.66666666666667
"17","BL 6","B6 Control","CA3","cam2kd",10
"18","BL 8","B6 Control","CA3","cam2kd",9.66666666666667
"19","BL 11","B6 Trained","CA3","cam2kd",10.3333333333333
"20","BL 13","B6 Trained","CA3","cam2kd",2.33333333333333
"21","BL 15","B6 Trained","CA3","cam2kd",27.3333333333333
"22","BL 19","B6 Trained","CA3","cam2kd",9
"23","BL 3","B6 Trained","CA3","cam2kd",4
"24","BL 5","B6 Trained","CA3","cam2kd",4
"25","BL 7","B6 Trained","CA3","cam2kd",38
"26","BL 9","B6 Trained","CA3","cam2kd",3
"27","ab","B6 Control","CA1","dlg4",6
"28","a","fmr1 Control","CA1","dlg4",13.6666666666667
"29","e","fmr1 Control","CA1","dlg4",15.6666666666667
"30","g","fmr1 Control","CA1","dlg4",0.666666666666667
"31","i","fmr1 Control","CA1","dlg4",19.6666666666667
"32","k","fmr1 Control","CA1","dlg4",16.6666666666667
"33","BL 10","B6 Control","CA3","dlg4",10.6666666666667
"34","BL 12","B6 Control","CA3","dlg4",3
"35","BL 14","B6 Control","CA3","dlg4",15
"36","BL 18","B6 Control","CA3","dlg4",8
"37","BL 4","B6 Control","CA3","dlg4",7.66666666666667
"38","BL 6","B6 Control","CA3","dlg4",6.66666666666667
"39","BL 8","B6 Control","CA3","dlg4",10
"40","ab","B6 Control","CA1","fos",2.33333333333333
"41","a","fmr1 Control","CA1","fos",4
"42","e","fmr1 Control","CA1","fos",8.33333333333333
"43","g","fmr1 Control","CA1","fos",0.666666666666667
"44","i","fmr1 Control","CA1","fos",15.6666666666667
"45","k","fmr1 Control","CA1","fos",4.66666666666667
"46","BL 10","B6 Control","CA3","fos",0
"47","BL 12","B6 Control","CA3","fos",0
"48","BL 14","B6 Control","CA3","fos",1.66666666666667
"49","BL 18","B6 Control","CA3","fos",0.666666666666667
"50","BL 4","B6 Control","CA3","fos",1
"51","BL 6","B6 Control","CA3","fos",2
"52","BL 8","B6 Control","CA3","fos",0
"53","ab","B6 Control","CA1","gria",17.6666666666667
"54","a wt","B6 Trained","CA1","gria",26
"55","a","fmr1 Control","CA1","gria",35.6666666666667
"56","e","fmr1 Control","CA1","gria",75.6666666666667
"57","g","fmr1 Control","CA1","gria",0.333333333333333
"58","i","fmr1 Control","CA1","gria",42.6666666666667
"59","k","fmr1 Control","CA1","gria",63
"60","b ","fmr1 Trained","CA1","gria",49
"61","c","fmr1 Trained","CA1","gria",294
"62","f","fmr1 Trained","CA1","gria",30.3333333333333
"63","h","fmr1 Trained","CA1","gria",17
"64","j","fmr1 Trained","CA1","gria",4
"65","BL 10","B6 Control","CA3","gria",9
"66","BL 12","B6 Control","CA3","gria",2.66666666666667
"67","BL 14","B6 Control","CA3","gria",22
"68","BL 18","B6 Control","CA3","gria",19.3333333333333
"69","BL 4","B6 Control","CA3","gria",7
"70","BL 6","B6 Control","CA3","gria",12.6666666666667
"71","BL 8","B6 Control","CA3","gria",11.3333333333333
"72","BL 1","B6 Trained","CA3","gria",18.6666666666667
"73","BL 11","B6 Trained","CA3","gria",13.6666666666667
"74","BL 13","B6 Trained","CA3","gria",12
"75","BL 15","B6 Trained","CA3","gria",37
"76","BL 19","B6 Trained","CA3","gria",10.6666666666667
"77","BL 2","B6 Trained","CA3","gria",22.6666666666667
"78","BL 3","B6 Trained","CA3","gria",4.66666666666667
"79","BL 5","B6 Trained","CA3","gria",3.66666666666667
"80","BL 7","B6 Trained","CA3","gria",30.6666666666667
"81","BL 9","B6 Trained","CA3","gria",1.33333333333333
"82","ab","B6 Control","CA1","grim",4.33333333333333
"83","a wt","B6 Trained","CA1","grim",6.66666666666667
"84","a","fmr1 Control","CA1","grim",4
"85","e","fmr1 Control","CA1","grim",7
"86","g","fmr1 Control","CA1","grim",0
"87","i","fmr1 Control","CA1","grim",7
"88","k","fmr1 Control","CA1","grim",6
"89","b ","fmr1 Trained","CA1","grim",12.3333333333333
"90","c","fmr1 Trained","CA1","grim",24.3333333333333
"91","f","fmr1 Trained","CA1","grim",5.33333333333333
"92","h","fmr1 Trained","CA1","grim",3.33333333333333
"93","j","fmr1 Trained","CA1","grim",0.666666666666667
"94","BL 10","B6 Control","CA3","grim",2.33333333333333
"95","BL 12","B6 Control","CA3","grim",1
"96","BL 14","B6 Control","CA3","grim",4.33333333333333
"97","BL 18","B6 Control","CA3","grim",1.66666666666667
"98","BL 4","B6 Control","CA3","grim",1.33333333333333
"99","BL 6","B6 Control","CA3","grim",1.66666666666667
"100","BL 8","B6 Control","CA3","grim",4.66666666666667
"101","BL 1","B6 Trained","CA3","grim",0.333333333333333
"102","BL 11","B6 Trained","CA3","grim",2
"103","BL 13","B6 Trained","CA3","grim",1
"104","BL 15","B6 Trained","CA3","grim",17
"105","BL 19","B6 Trained","CA3","grim",3.66666666666667
"106","BL 2","B6 Trained","CA3","grim",0
"107","BL 3","B6 Trained","CA3","grim",0.666666666666667
"108","BL 5","B6 Trained","CA3","grim",2.33333333333333
"109","BL 7","B6 Trained","CA3","grim",11.6666666666667
"110","BL 9","B6 Trained","CA3","grim",1
"111","ab","B6 Control","CA1","grin",3.66666666666667
"112","a wt","B6 Trained","CA1","grin",8
"113","a","fmr1 Control","CA1","grin",9.33333333333333
"114","e","fmr1 Control","CA1","grin",21.3333333333333
"115","g","fmr1 Control","CA1","grin",1
"116","i","fmr1 Control","CA1","grin",16
"117","k","fmr1 Control","CA1","grin",18.5
"118","b ","fmr1 Trained","CA1","grin",15
"119","c","fmr1 Trained","CA1","grin",63
"120","f","fmr1 Trained","CA1","grin",15
"121","h","fmr1 Trained","CA1","grin",5.33333333333333
"122","j","fmr1 Trained","CA1","grin",1.33333333333333
"123","BL 10","B6 Control","CA3","grin",1.33333333333333
"124","BL 12","B6 Control","CA3","grin",0.666666666666667
"125","BL 14","B6 Control","CA3","grin",5
"126","BL 18","B6 Control","CA3","grin",3.66666666666667
"127","BL 4","B6 Control","CA3","grin",1.66666666666667
"128","BL 6","B6 Control","CA3","grin",3.33333333333333
"129","BL 8","B6 Control","CA3","grin",3.33333333333333
"130","BL 1","B6 Trained","CA3","grin",4.66666666666667
"131","BL 11","B6 Trained","CA3","grin",4
"132","BL 13","B6 Trained","CA3","grin",1.66666666666667
"133","BL 15","B6 Trained","CA3","grin",9
"134","BL 19","B6 Trained","CA3","grin",5
"135","BL 2","B6 Trained","CA3","grin",6.33333333333333
"136","BL 3","B6 Trained","CA3","grin",1
"137","BL 5","B6 Trained","CA3","grin",1.33333333333333
"138","BL 7","B6 Trained","CA3","grin",8.33333333333333
"139","BL 9","B6 Trained","CA3","grin",0.666666666666667
"140","ab","B6 Control","CA1","nsf",11
"141","a wt","B6 Trained","CA1","nsf",11.6666666666667
"142","a","fmr1 Control","CA1","nsf",24
"143","e","fmr1 Control","CA1","nsf",38.6666666666667
"144","g","fmr1 Control","CA1","nsf",2.33333333333333
"145","i","fmr1 Control","CA1","nsf",34.3333333333333
"146","k","fmr1 Control","CA1","nsf",28.3333333333333
"147","b ","fmr1 Trained","CA1","nsf",24.6666666666667
"148","c","fmr1 Trained","CA1","nsf",118
"149","f","fmr1 Trained","CA1","nsf",17.3333333333333
"150","h","fmr1 Trained","CA1","nsf",222.666666666667
"151","j","fmr1 Trained","CA1","nsf",2.66666666666667
"152","BL 10","B6 Control","CA3","nsf",5.66666666666667
"153","BL 12","B6 Control","CA3","nsf",3
"154","BL 14","B6 Control","CA3","nsf",14.5
