sample	Time	Region	APA	rRNA18s	rpl19	pkmz	dlg4	creb	gria	grin	grim	nsf	fos	pkmz.conc	grim.conc	rpl19.conc	dlg4.conc	fmr1.conc	cam2kd
BL 9	AM	CA3	train	27.74269676	34.14148331	-1	37.93083954	37.84565353	-1	36.95082855	37.92254257	34.95410919	-1	36.13518143	36.94115448	34.93665314	34.71660614	NA	36.25049973
BL 9	AM	CA3	train	27.79372215	34.82289124	-1	38.052948	37.84565353	-1	39.00941086	-1	35.40790558	-1	-1	37.66383362	35.50929642	34.14622879	NA	35.55783463
BL 9	AM	CA3	train	27.70422745	35.14818954	-1	38.06786346	37.84565353	35.13872147	37.5964241	-1	37.64493179	-1	35.93574524	36.59036255	35.67110062	35.50328827	NA	34.75624084
BL 8	AM	CA3	control	26.46113586	32.72377777	37.94998169	38.27911377	37.37688065	33.44119263	34.8442688	36.2494278	33.63656998	-1	34.27355194	34.47057343	33.87258148	32.89772415	36.89368439	32.97032928
BL 8	AM	CA3	control	26.49439621	33.228405	37.94998169	36.97172546	37.37688065	33.57399368	36.32800674	36.90049744	34.59444809	-1	34.34864426	34.36867905	34.0306778	33.32229996	36.98192978	33.7778244
BL 8	AM	CA3	control	26.25679779	33.20549774	37.94998169	36.82315826	37.37688065	33.22376633	34.93360138	36.19013596	33.39484024	-1	34.9561348	35.26099396	34.00651169	33.27589798	-1	34.15133667
BL 14	AM	CA3	control	25.26878738	32.62807465	37.63111877	35.998703	37.55582047	32.34385681	34.49904251	37.8970108	NA	35.28689194	33.86361313	34.47029495	32.88657761	32.20025253	35.65733719	33.14628601
BL 14	AM	CA3	control	24.95118523	32.36425018	37.63111877	35.43916321	37.55582047	32.32107544	34.28614426	36.28188324	32.90104294	37.97874832	33.7420845	34.60627747	32.78491592	32.12592697	35.02891159	32.13785553
BL 14	AM	CA3	control	25.29510307	32.84575653	37.63111877	36.43203354	37.55582047	32.75562668	34.83028412	36.7787323	32.8205719	36.50577164	34.38090134	35.45249557	33.0949707	33.48905182	-1	33.55746078
BL 4	AM	CA3	control	24.64605713	32.86355591	38.31124878	36.8224411	38.10040665	33.58546829	35.2698822	-1	33.51062393	35.73820877	33.61533356	37.33334732	33.45655823	33.16196823	36.79023743	35.17538452
BL 4	AM	CA3	control	24.70475197	33.11227036	38.31124878	36.53851318	38.10040665	34.42336655	36.43714905	37.32898331	35.05894852	NA	33.33954239	37.90647125	33.48411179	34.16299438	36.43304443	34.89270401
BL 4	AM	CA3	control	24.5988884	32.89692688	38.31124878	36.88171387	38.10040665	34.59929276	36.79864883	37.69119263	34.52437973	-1	33.53642273	36.31224823	33.49913788	33.71998978	-1	34.75638199
BL 19	PM	CA3	train	25.94763184	32.8461113	38.89485931	36.93740845	36.33395004	33.50230408	34.76177597	35.34221268	32.37744141	36.16840363	34.83725357	35.68228149	33.55376434	33.95555496	36.97375107	33.83771515
BL 19	PM	CA3	train	26.17086792	33.75232315	38.89485931	37.61462402	36.33395004	33.89772415	34.10517883	36.19074249	32.39848328	36.74823761	34.08893967	34.83036041	33.30132675	34.34076309	-1	33.14484406
BL 19	PM	CA3	train	26.08548164	33.4199791	38.89485931	36.63748169	36.33395004	33.17932892	34.98590088	36.74368286	32.38158035	36.84168243	33.40499496	34.68021774	33.69527435	33.85033798	-1	34.30818558
BL 6	AM	CA3	control	26.21767235	34.05110931	37.752491	36.9961853	-1	33.78162384	34.80613708	36.24083328	33.43474579	34.55944443	34.34453964	35.27561188	34.03299332	33.76992798	-1	33.60600281
BL 6	AM	CA3	control	26.12641335	33.54439545	37.752491	37.82867432	-1	33.01615524	35.46757126	37.92317581	33.69248581	-1	34.13310242	-1	33.69207001	34.68116379	-1	33.74636078
BL 6	AM	CA3	control	26.08586884	33.1101799	37.752491	37.03046417	-1	33.13617706	35.13102341	37.79001617	32.98195648	37.61877441	35.66322708	35.73962784	33.78071976	33.4076767	-1	33.23437119
BL 18	AM	CA3	control	25.86375237	34.346241	37.78628922	35.96955872	38.09070587	32.60136414	35.06770325	35.98920441	33.41893387	36.97327805	33.39032364	35.99063873	34.96960449	33.51720428	37.22050476	33.76395416
BL 18	AM	CA3	control	25.91677666	33.97592926	37.78628922	36.03079224	38.09070587	32.6306572	34.6476059	-1	34.02962875	36.42063141	35.08797836	36.20507431	34.68864059	34.0884552	-1	33.94060516
BL 18	AM	CA3	control	25.9715519	33.88893509	37.78628922	36.52056885	38.09070587	32.66557312	35.52327347	-1	33.90784073	38.19163132	35.30265045	36.4380722	34.81651688	33.17728043	-1	33.6941452
BL 11	AM	CA3	train	25.70856285	32.6873436	37.73881531	36.11151505	36.91337585	33.22485733	34.80456924	36.88632584	32.40840912	36.38162613	-1	36.09133911	34.10678101	33.60014343	37.19711304	33.25908661
BL 11	AM	CA3	train	25.73044777	32.6400528	37.73881531	36.52750778	36.91337585	32.86436462	34.93787384	37.96662903	32.77915192	36.54043579	33.08098984	37.30640793	34.12405396	34.76162338	-1	33.86870956
BL 11	AM	CA3	train	25.96274567	32.71947861	37.73881531	36.67168427	36.91337585	33.43960953	34.94337082	-1	32.58694839	-1	35.5160675	35.57703781	34.3343544	34.68080521	-1	33.42790604
BL 3	AM	CA3	train	27.04544258	35.25624084	39.28681946	37.67911148	38.40879822	34.76202393	36.93151855	-1	37.5039978	-1	33.54331207	-1	34.50144196	33.40905762	35.63555527	34.96121597
BL 3	AM	CA3	train	27.16280556	34.95412445	39.28681946	37.30121231	38.40879822	35.32074356	37.36230469	-1	37.53915024	-1	-1	38.4359169	35.14311981	33.7072258	-1	NA
BL 3	AM	CA3	train	27.18875313	33.44205093	39.28681946	38.48831177	38.40879822	34.35187149	36.91371918	37.45999527		-1	33.26221466	36.13354492	35.03227997	33.5162735	-1	34.92180634
BL 5	AM	CA3	train	26.06437302	34.37549973	39.32704544	36.67715073	-1	35.68190002	35.93502808	38.18982697	35.89298248	NA	34.52587128	35.98884964	33.81341171	32.09355927	37.05470657	34.84538269
BL 5	AM	CA3	train	26.17713547	35.09202194	39.32704544	38.05571747	-1	34.78899002	37.41747665	37.67399597	33.18811798	-1	33.68746948	35.77192688	34.00426102	34.30442047	-1	35.97921371
BL 5	AM	CA3	train	26.13623047	33.71107864	39.32704544	37.15515137	-1	34.58081818	37.47360229	-1	34.43326569	36.54936981	35.3698349	35.52247238	34.64183426	33.73475647	-1	34.36956024
BL 13	PM	CA3	train	27.33522797	35.94898605	39.2038002	38.71375275	-1	33.75738144	36.16110992	-1	35.01820755	-1	35.67201233	NA	34.86527634	35.147892	NA	35.4927597
BL 13	PM	CA3	train	27.45189285	34.68330765	39.2038002	-1	-1	33.52832031	35.85255051	-1	37.4797287	-1	35.56294632	37.7396698	35.50115967	34.50664139	NA	35.10253906
BL 13	PM	CA3	train	27.4907608	37.06475067	39.2038002	38.63895416	-1	32.92059326	36.84466171	-1	33.60026169	-1	33.23603439	37.71271133	35.08288574	34.752491	NA	-1
BL 10	PM	CA3	control	27.12911034	33.88757324	38.40381241	37.21332169	38.21202469	33.47904205	36.15276718	38.62077332	34.96351242	-1	34.4622345	36.09513092	34.08031845	33.5124588	35.62992477	34.17064667
BL 10	PM	CA3	control	27.21183205	34.71566391	38.40381241	37.24963379	38.21202469	34.01112747	35.69164276	-1	34.58345413	-1	33.81954575	35.1338768	34.45806885	32.86001587	36.8637085	34.84616852
BL 10	PM	CA3	control	27.10674477	33.24342346	38.40381241	38.09833908	38.21202469	33.9585228	38.21014023	-1	33.8646698	-1	33.68861771	37.4053688	34.10239792	32.88087845	-1	34.60525131
BL 12	AM	CA3	control	27.78285408	35.02496338	38.79653931	-1	-1	35.27085495	38.34354782	-1	35.46022034	-1	36.31508636	-1	35.05439758	35.00265884	NA	36.85535431
BL 12	AM	CA3	control	27.89772987	34.63720322	38.79653931	-1	-1	35.62744904	36.90258026	-1	34.88263702	-1	35.57952499	35.83836746	34.79622269	35.55661392	NA	37.00722122
BL 12	AM	CA3	control	27.85821342	34.71279144	38.79653931	38.02560043	-1	35.85923004	37.32572937	-1	36.33779907	-1	33.6182785	37.60982895	35.59980011	34.78832626	NA	-1
BL 15	PM	CA3	train	23.50201988	31.38059425	36.08030319	34.83820724	36.40110779	31.68714142	NA	34.96423721	31.5080986	36.32222366	30.43812943	32.69776917	31.15038109	29.90502167	33.80243683	31.79941559
BL 15	PM	CA3	train	23.50426674	31.43347359	36.08030319	34.37477493	36.40110779	NA	33.52206421	35.16955185	31.48274803	-1	30.94237518	32.83696747	31.27100182	30.39655876	33.73169708	31.935009
BL 15	PM	CA3	train	23.4409523	31.75470352	36.08030319	34.17855835	36.40110779	31.67978096	33.53420639	35.71746063	31.49042892	-1	30.44612694	32.75319672	31.46831703	29.94914246	-1	32.30585861
BL 7	AM	CA3	train	24.59630775	32.40634537	37.03479004	34.76564407	36.59315872	32.20831299	33.28239059	35.89203644	31.68802834	36.3967247	31.43811035	33.307724	32.5513916	31.56204033	35.29455185	31.32732582
BL 7	AM	CA3	train	24.65653229	31.70765305	37.03479004	35.05716324	36.59315872	31.91287422	33.73110962	36.61183548	31.90779686	36.46807098	31.26288986	33.35445404	32.62634277	31.0411396	34.95582962	31.74465561
BL 7	AM	CA3	train	24.57540321	32.07854843	37.03479004	35.20714188	36.59315872	31.75483131	34.2669754	35.70433426	31.40472794	35.31653214	30.85464096	33.48236465	32.88419342	30.97060204	-1	31.49837685
BL 1	AM	CA3	train	22.86705589	32.98179245	37.88308334	36.8158226	36.87253189	32.57772446	34.56993103	37.53006363	35.13241959	NA	36.9444046	-1	35.99179459	34.29347229	NA	NA
BL 1	AM	CA3	train	22.63335609	32.83328247	37.88308334	37.22169113	36.87253189	32.57380295	34.42208862	-1	34.37426376	33.40232849	33.74009323	-1	35.27347946	34.51378632	NA	NA
BL 1	AM	CA3	train	22.92396164	32.94709778	37.88308334	36.93869019	36.87253189	32.87994003	34.87411118	-1	33.84799194	33.42340851	36.29188538	37.94684982	35.87812042	36.58244705	NA	NA
BL 2	AM	CA3	train	22.96884918	32.78149033	36.04108047	36.21287918	37.77234268	32.25848389	34.66552353	35.26740265	33.24198151	35.76764297	34.46593094	-1	35.79260254	34.195961	NA	NA
BL 2	AM	CA3	train	23.08206558	32.58041382	36.04108047	37.05808258	37.77234268	32.60474014	33.97161865	35.2028923	33.09687424	35.78489304	34.67621994	-1	NA	35.81884766	NA	NA
BL 2	AM	CA3	train	22.9432106	33.39638901	NA	35.77022552	37.77234268	32.35122299	33.96400452	35.51690674	33.21496964	35.60695267	34.71211243	-1	NA	35.08514404	NA	NA
