dna	cq	gene
100	28.76100349	grim
100	28.60231781	grim
100	28.71313667	grim
50	29.784235	grim
50	29.83151817	grim
50	29.52202415	grim
25	30.91526794	grim
25	30.4992981	grim
25	30.7274704	grim
12.5	32.2025795	grim
12.5	32.25592422	grim
12.5	31.7692585	grim
6.25	33.12234116	grim
6.25	33.00443268	grim
6.25	32.73844528	grim
3.125	33.56092072	grim
3.125	33.83843231	grim
3.125	34.10054779	grim
1.5625	35.33017731	grim
1.5625	35.63106537	grim
1.5625	34.62182236	grim
0.78125	35.38564301	grim
0.78125	36.50119019	grim
0.390625	38.0064621	grim
0.390625	36.98407745	grim
0.390625	37.12558365	grim
0.1953125	37.86923981	grim
0.1953125	37.03002167	grim
0.1953125	38.11903763	grim
0.09765625	38.89305878	grim
100	25.48060036	pkmz
100	25.44589043	pkmz
100	25.17097473	pkmz
50	26.49436569	pkmz
50	26.19664192	pkmz
50	25.750103	pkmz
25	26.08793259	pkmz
25	25.46765327	pkmz
25	27.40227318	pkmz
12.5	28.87788963	pkmz
12.5	28.37026787	pkmz
12.5	28.31463623	pkmz
6.25	29.27108002	pkmz
6.25	29.40006638	pkmz
6.25	29.65239525	pkmz
3.125	30.66905022	pkmz
3.125	30.22135162	pkmz
3.125	29.93553925	pkmz
1.5625	31.44192314	pkmz
1.5625	30.70109177	pkmz
1.5625	31.49883652	pkmz
0.78125	32.41513062	pkmz
0.78125	32.93440628	pkmz
0.78125	32.9570694	pkmz
0.390625	33.29135513	pkmz
0.390625	34.21178436	pkmz
0.390625	34.27938461	pkmz
0.1953125	33.94343185	pkmz
0.1953125	34.59840012	pkmz
0.09765625	34.83415604	pkmz
0.09765625	35.20162201	pkmz
0.09765625	37.06393433	pkmz
0.048828125	36.22114944	pkmz
0.048828125	34.99964905	pkmz
0.048828125	35.89041519	pkmz
0.024414063	38.26337433	pkmz
100	25.39993477	rpl19
100	25.32447433	rpl19
100	25.33191681	rpl19
50	26.34051895	rpl19
50	26.35299683	rpl19
50	26.42856216	rpl19
25	27.97000313	rpl19
25	27.18103027	rpl19
25	27.4461422	rpl19
12.5	28.62714195	rpl19
12.5	28.50688553	rpl19
12.5	28.47993469	rpl19
6.25	29.59842682	rpl19
6.25	29.68829727	rpl19
6.25	29.82534027	rpl19
3.125	30.65376091	rpl19
3.125	30.56002808	rpl19
3.125	30.42699814	rpl19
1.5625	31.55744553	rpl19
1.5625	31.69279671	rpl19
1.5625	31.68413353	rpl19
0.78125	33.71926117	rpl19
0.78125	33.02172852	rpl19
0.78125	33.10842514	rpl19
0.390625	34.14004517	rpl19
0.390625	33.93458557	rpl19
0.390625	34.36173248	rpl19
0.1953125	35.7166481	rpl19
0.1953125	35.13931656	rpl19
0.1953125	34.95357895	rpl19
0.09765625	36.62932205	rpl19
0.09765625	35.95127487	rpl19
0.09765625	36.7273407	rpl19
