dna	cq	gene
0.04883	34.15	rpl19
0.04883	34.44	rpl19
0.04883	34.34	rpl19
0.02441	34.62	rpl19
0.02441	35.7	rpl19
0.02441	35.13	rpl19
100	22.78	rpl19
100	22.64	rpl19
100	22.71	rpl19
50	23.6	rpl19
50	23.66	rpl19
50	23.7	rpl19
25	24.89	rpl19
25	24.66	rpl19
25	24.85	rpl19
12.5	25.93	rpl19
12.5	25.87	rpl19
12.5	25.92	rpl19
6.25	26.76	rpl19
6.25	26.98	rpl19
6.25	26.85	rpl19
3.125	27.71	rpl19
3.125	27.69	rpl19
3.125	27.9	rpl19
1.5625	28.85	rpl19
1.5625	29.1	rpl19
1.5625	29.38	rpl19
0.78125	30.54	rpl19
0.78125	30.25	rpl19
0.78125	30.23	rpl19
0.39063	31.26	rpl19
0.39063	31.22	rpl19
0.39063	31.34	rpl19
0.19531	31.59	rpl19
0.19531	32.57	rpl19
0.19531	32.11	rpl19
0.09766	33.29	rpl19
0.09766	33.35	rpl19
0.09766	33.9	rpl19
0.04883	39.4	pkmz
0.04883	38.74	pkmz
0.04883	38.38	pkmz
0.02441	39.54	pkmz
100	27.55	pkmz
100	27.45	pkmz
100	27.48	pkmz
50	28.47	pkmz
50	28.48	pkmz
50	28.47	pkmz
25	29.64	pkmz
25	29.7	pkmz
25	29.8	pkmz
12.5	30.79	pkmz
12.5	30.53	pkmz
12.5	30.6	pkmz
6.25	31.46	pkmz
6.25	31.83	pkmz
6.25	31.25	pkmz
3.125	32.85	pkmz
3.125	32.87	pkmz
3.125	32.71	pkmz
1.5625	33.45	pkmz
1.5625	33.69	pkmz
1.5625	33.79	pkmz
0.78125	34.95	pkmz
0.78125	35.05	pkmz
0.78125	34.92	pkmz
0.39063	36.74	pkmz
0.39063	37.11	pkmz
0.39063	36.23	pkmz
0.19531	37.98	pkmz
0.19531	37.6	pkmz
0.19531	37.6	pkmz
0.09766	38.01	pkmz
0.09766	38.77	pkmz
0.09766	38.46	pkmz
100	28.03	grim
100	27.62	grim
100	28.09	grim
50	29.1	grim
50	29.1	grim
50	29.25	grim
25	30.37	grim
25	29.84	grim
25	30.19	grim
12.5	31.27	grim
12.5	31.32	grim
12.5	31.16	grim
6.25	32.51	grim
6.25	32.38	grim
6.25	32.01	grim
3.125	32.78	grim
3.125	32.99	grim
3.125	33.33	grim
1.5625	33.85	grim
1.5625	34.78	grim
1.5625	35.13	grim
0.78125	34.87	grim
0.78125	35.88	grim
0.39063	36.15	grim
0.39063	35.87	grim
0.19531	36.45	grim
0.19531	37.94	grim
0.09766	38.95	grim
0.09766	38.01	grim
