"","pkmz","grim","rpl19","rRNA18S","dlg4","gria","grin","nsf","cam2kd","fmr1","fos","creb","ind","time","region","APA","strain","year"
"2",2.13826620874583,1.1984189047985,9.03705578716431,6.17007581035536,3.01365739246566,3.61064067182692,1.74159133057282,2.72380688417643,4.43862096651619,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1.56425578082023,2.35116650490287,10.064361341687,6.11647336691302,3.77884829015545,4.98876030784885,3.26097953195642,4.29312217416201,7.06047584591237,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1.90163432085394,2.32360293520497,11.9061497776032,5.9165373336049,3.57364499457818,5.08213746229131,3.26099081437179,4.60777652065761,7.0409446372093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1.85915227723718,2.33559403314855,9.53783478179805,6.7457770563924,3.79766480789279,4.97683532887959,3.26098288807344,4.3306812356902,6.445725239336,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1.81170223640565,2.3284436053873,11.5129431923915,6.34161698799976,3.65607749742224,4.90145199333544,3.26098286021215,7.26554234052405,9.82706436800357,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1.76157506569014,2.32506515450301,12.7020301705604,7.6548803628677,3.88081529019922,4.9345518204164,3.26099736170548,4.2705247078752,7.14498807013222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2.49175193878425,1.18782696446537,3.95220599334069,10.6639437487972,3.14099348603292,3.51435853788074,1.74163479474144,3.23024175431951,3.32175334574145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2.6429336452724,1.24704893671907,3.35578958224929,10.2199437546541,2.95680960641296,3.5581649893427,1.69602431960756,3.93637586655197,3.00732379080119,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2.43867533934802,1.18149967226271,4.09837208971463,10.6108614571447,2.94199598890704,3.60725956453498,1.74159558018392,3.91643559341263,3.34289524967688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2.81487387088051,1.17749135460439,3.52892584445154,10.4121212562168,3.19266540818086,3.56897127003128,1.74158369481843,2.27080730974158,3.05349849837213,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2.69831777048149,1.18908340794738,3.28322082916579,10.9628535725291,3.17767422027557,3.50832767998534,1.74159617677525,3.1831774552871,2.7565592866487,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2.74719583625366,1.23900185961791,2.25178813579852,9.87465899292211,3.0145432743941,3.66542546737045,1.69599908522279,2.97286895673251,2.29112747724938,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2.9718898426052,1.25569909613934,2.93623364393265,10.460741905962,3.19100783628643,3.52380204155886,1.69602894514459,2.94860058382156,2.58706127275507,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2.88590834860128,1.19827211257626,2.9474482743257,9.91707097445136,3.09032853073286,3.54148958029795,1.74160417175026,3.19345057353535,3.40013752397017,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2.39682201548613,1.16727751708423,4.06189708156522,13.5081019103997,2.89287139498623,3.69431791187752,1.7415800470981,2.8224642033908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2.41483377786429,1.16217417806056,3.83896589099377,13.0773154611634,2.83912700148719,3.69374534811165,1.74157517256398,3.44615714691491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",1.58400739268072,1.4574283157976,10.4264590826748,5.70115027335004,3.00032148588813,4.55989781839456,2.96904205718549,4.04524980472384,6.44157393963593,-0.0689126228539517,1.84964716141244,1.10138382828718,"a","AM","CA1","Control","fmr1",2014
"4",1.72360128123756,1.08512470655297,9.19227013087423,5.24525910673241,2.67731819779656,3.3966056850066,1.20593201561807,2.74523638696441,4.19479022956893,-0.716186735126801,-0.673185621607347,-1.26343549403234,"ab","AM","CA1","Control","B6",2014
"8",1.72347872213704,1.46888820424634,11.1685056017978,5.75933866390359,2.93314396536984,4.61194402032823,2.9690085580082,4.06705560223002,6.52729093328182,-0.159426853185092,1.85509147608545,0.998501740048964,"e","AM","CA1","Control","fmr1",2014
"10",1.57556738770375,1.46978394408557,11.2678188574413,7.44379310986187,2.97750846941463,4.46889061450313,2.96902888367251,4.56630143958978,5.69157855085888,-0.153379260676994,1.87805405247278,0.958175621440932,"g","AM","CA1","Control","fmr1",2014
"12",1.78976156506293,1.46846124843236,9.80982582062917,7.81246911656984,2.98721994160345,4.52309456943612,2.96903666166552,3.96289774399783,6.26437459287413,-0.163730083446829,1.9037062941071,1.05317920273473,"i","AM","CA1","Control","fmr1",2014
"14",1.66399480901766,1.46814533305282,10.5712352250584,6.19411921543267,3.01000095920356,4.61025290046034,2.96900465816462,3.95361950309181,NA,-0.150158623969732,1.83108862412067,1.02059778513181,"k","AM","CA1","Control","fmr1",2014
"19",2.13534358442017,1.08892969055458,3.4887795840981,9.70738538419748,2.85840259918743,3.3786809697052,1.20591321504899,2.75158702395961,2.87666943764285,-0.757293828744952,-0.757415295369714,-1.35371629858241,"BL 8","AM","CA3","Control","B6",2013
"20",2.0640919113488,1.07724523393286,3.20735655724874,10.1686963696822,2.83841391279047,3.41034112940866,1.20594323126125,2.84599368296355,2.92203753187384,-0.733293708231613,-0.701123728780392,-1.39043240625729,"BL 14","AM","CA3","Control","B6",2013
"21",2.52401682186493,1.07485413797275,4.05393207596961,11.8117322244797,2.87703251327241,3.35110987258887,1.20592941553362,2.81700665686983,2.23513080906431,-0.755819814991851,-0.70455171642552,-1.50501176574467,"BL 4","AM","CA3","Control","B6",2013
"23",2.13640638055638,1.07060962725716,3.30621480609786,10.1908884157085,2.80721803905903,3.42079216663859,1.20593390020398,3.24668337154574,3.17409831466755,-0.835164154570218,-0.672938468891327,-1.48892066455538,"BL 6","AM","CA3","Control","B6",2013
"24",2.15137407451745,1.07376858189799,2.71747663370683,10.2602007147161,2.81752506214757,3.48058530405527,1.20591815008271,2.84958996452577,2.88107043959317,-0.784312475957456,-0.724974123850986,-1.51250359483419,"BL 18","AM","CA3","Control","B6",2013
"29",2.4631744646054,1.13079438897194,3.086698639333,9.43672700941237,2.94958301533603,3.37435312747129,1.16031741387716,2.64780004972083,2.52703578136047,-0.657487212503345,-16.0626847550314,-1.93903886102775,"BL 10","PM","CA3","Control","B6",2013
"30",2.49708952289009,1.08054287510891,3.71123678644047,10.2051043393237,2.86951605792758,3.37061487025103,1.20593837006733,2.9598482973082,1.8555692449128,NA,-0.73542188893336,-1.46309237198883,"BL 12","AM","CA3","Control","B6",2013
