"","pkmz","grim","rpl19","ind","time","region","APA","strained","group","year","dilution.factor","no.wells","newcounts"
"38",1.3541620104054,0.764749080983925,6.73379599152137,"BL16","AM","CA1","control","B6",3,2013,5,18,23310
"42",1.01183229752632,0.483295749931755,7.24276110481904,"BL4","AM","CA1","control","B6",3,2013,5,18,12330
"43",0.857363049130403,1.77054284676571,6.3830237970652,"BL12","AM","CA1","control","B6",3,2013,5,18,7020
"44",1.28127661829321,1.03690411693982,6.28560801769276,"BL10","PM","CA1","control","B6",3,2013,5,18,3690
"50",1.25612646683912,0.944688417027332,6.44660222780933,"BL18","AM","CA1","control","B6",3,2013,5,18,7290
"51",0.830101124917091,1.52131888811777,6.89727216952155,"BL14","AM","CA1","control","B6",3,2013,5,18,15300
"53",0.628829258571165,1.91836792271481,6.99243696260439,"BL6","AM","CA1","control","B6",3,2013,5,18,21960
"35",1.40531993764506,1.87073413731366,8.0038232439798,"BL11","AM","CA1","trained","B6",5,2013,5,18,19260
"36",1.61503075206094,2.27864040946019,7.63459107496198,"BL7","AM","CA1","trained","B6",5,2013,5,18,29700
"37",2.81408133290711,0.377163384050887,6.75257175935436,"BL2","AM","CA1","trained","B6",5,2013,5,18,5130
"39",1.52891447163304,1.4338550327069,8.39360268733002,"BL19","PM","CA1","trained","B6",5,2013,5,18,18990
"40",1.61704412916753,1.55042248734772,7.81502088628244,"BL3","AM","CA1","trained","B6",5,2013,5,18,9450
"41",1.89003954557521,2.14896411607283,7.20100307587847,"BL13","PM","CA1","trained","B6",5,2013,5,18,16740
"46",0.599420969386126,2.18569875549848,8.723373662118,"BL1","AM","CA1","trained","B6",5,2013,5,18,7470
"47",1.28375718705232,3.03427025885049,7.77146390525799,"BL15","PM","CA1","trained","B6",5,2013,5,18,123120
"48",1.32878832214961,2.50490790274495,7.95964511823587,"BL9","AM","CA1","trained","B6",5,2013,5,18,65340
"49",1.85546744587815,1.26271475213842,7.57402872898203,"BL5","AM","CA1","trained","B6",5,2013,5,18,3870
"52",1.88885025387981,2.38883960903163,7.04380889276666,"BL17","AM","CA1","trained","B6",5,2013,5,18,40770
"45",0,1.49444436120193,5.71176448991824,"BL8","AM","CA1","control","B6",3,2013,5,18,450
"1",1.73340365194965,1.0978679186236,10.8684427957783,"a","AM","CA1","control","fmr1",1,2014,2.5,18,93690
"8",1.94174215274365,1.42679493524213,11.090258198359,"e","AM","CA1","control","fmr1",1,2014,2.5,18,256050
"10",1.11032119589742,1.0170205276496,10.8460859904135,"g","AM","CA1","control","fmr1",1,2014,2.5,18,8190
"12",2.1065896765964,1.77173271555812,9.84778347948618,"i","AM","CA1","control","fmr1",1,2014,2.5,18,89460
"14",1.60367063517858,1.80115462848576,10.6487040493959,"k","AM","CA1","control","fmr1",1,2014,2.5,18,135810
"55",1.73339418479019,1.09745272438486,10.8718369410279,"a","AM","CA1","control","fmr1",1,2014,2.5,18,93690
"56",1.94165385615893,1.42674642024672,11.0891153488944,"e","AM","CA1","control","fmr1",1,2014,2.5,18,256050
"57",1.11022503812131,1.01710773785161,10.8458998273436,"g","AM","CA1","control","fmr1",1,2014,2.5,18,8190
"58",2.10662788451532,1.77193436684083,9.84790076174972,"i","AM","CA1","control","fmr1",1,2014,2.5,18,89460
"59",1.60349567854793,1.80151721755825,10.6488431221699,"k","AM","CA1","control","fmr1",1,2014,2.5,18,135810
"5",1.71961926611381,3.26572108118179,10.5222853946844,"b ","AM","CA1","trained","fmr1",8,2014,2.5,18,72495
"7",2.14619280690621,2.21233125884008,11.9353522866383,"c","AM","CA1","trained","fmr1",8,2014,2.5,18,986040
"9",2.61980414963757,2.3845198927273,9.54052474990449,"f","AM","CA1","trained","fmr1",8,2014,2.5,18,32130
"11",2.00368946009241,2.02226323231894,11.2599063342535,"h","AM","CA1","trained","fmr1",8,2014,2.5,18,113175
"13",1.28196074015482,1.29957294886443,12.5241547315816,"j","AM","CA1","trained","fmr1",8,2014,2.5,18,56340
"61",1.71965644082775,3.265789572854,10.5216095489839,"b ","AM","CA1","trained","fmr1",8,2014,2.5,18,72495
"62",2.14605808494915,2.21224650512893,11.9343868422804,"c","AM","CA1","trained","fmr1",8,2014,2.5,18,986040
"63",2.61953071261432,2.38483129001551,9.54026616007184,"f","AM","CA1","trained","fmr1",8,2014,2.5,18,32130
"64",2.00348670486031,2.02219359986199,11.2583616439186,"h","AM","CA1","trained","fmr1",8,2014,2.5,18,113175
"65",1.28208516572978,1.29955217153358,12.5224276778243,"j","AM","CA1","trained","fmr1",8,2014,2.5,18,56340
"4",0.392298094856659,1.37322571462303,9.70679780117127,"ab","AM","CA1","control","B6",2,2014,2.5,18,52065
"54",0.392396563440748,1.37305260511239,9.70840280921217,"ab","AM","CA1","control","B6",2,2014,2.5,18,52065
"2",1.49770370097219,2.36172264238961,9.72067236583861,"a wt","AM","CA1","trained","B6",4,2014,2.5,18,55215
"60",1.49762943352694,2.36187063971812,9.71902791576863,"a wt","AM","CA1","trained","B6",4,2014,2.5,18,55215
