"","count","gene","sample","ID","strain","mouse","neurons","regions","date"
"1",0,"fos","5","K","BL","1","4","CA1 lower","6/28/2014"
"2",0,"fos","5","K","BL","1","4","CA1 lower","6/28/2014"
"3",0,"fos","5","K","BL","1","4","CA1 lower","6/28/2014"
"4",0,"fos","13","U","BL","2","5","CA1 lower","6/30/2014"
"5",0,"fos","13","U","BL","2","5","CA1 lower","6/30/2014"
"6",0,"fos","13","U","BL","2","5","CA1 lower","6/30/2014"
"7",0,"fos","15","W","BL","3","5","CA1 lower","7/1/2014"
"8",0,"fos","15","W","BL","3","5","CA1 lower","7/1/2014"
"9",0,"fos","15","W","BL","3","5","CA1 lower","7/1/2014"
"10",18,"fos","4","J","BL","1","3","CA1 upper","6/28/2014"
"12",0,"fos","4","J","BL","1","3","CA1 upper","6/28/2014"
"13",18,"fos","10","R","BL","2","3","CA1 upper","6/30/2014"
"15",36,"fos","10","R","BL","2","3","CA1 upper","6/30/2014"
"16",0,"fos","14","V","BL","3","3","CA1 upper","7/1/2014"
"17",0,"fos","14","V","BL","3","3","CA1 upper","7/1/2014"
"18",0,"fos","14","V","BL","3","3","CA1 upper","7/1/2014"
"19",108,"fos","1","AA","BL","3","5","DG","7/1/2014"
"21",36,"fos","1","AA","BL","3","5","DG","7/1/2014"
"22",72,"fos","3","AF","BL","4","5","DG","7/1/2014"
"23",54,"fos","3","AF","BL","4","5","DG","7/1/2014"
"24",72,"fos","3","AF","BL","4","5","DG","7/1/2014"
"25",54,"fos","6","L","BL","1","5","DG","6/28/2014"
"26",54,"fos","6","L","BL","1","5","DG","6/28/2014"
"27",18,"fos","6","L","BL","1","5","DG","6/28/2014"
"28",72,"fos","11","S","BL","2","5","DG","6/30/2014"
"29",72,"fos","11","S","BL","2","5","DG","6/30/2014"
"30",180,"fos","11","S","BL","2","5","DG","6/30/2014"
"31",0,"grin","5","K","BL","1","4","CA1 lower","6/28/2014"
"32",18,"grin","5","K","BL","1","4","CA1 lower","6/28/2014"
"33",0,"grin","5","K","BL","1","4","CA1 lower","6/28/2014"
"34",0,"grin","13","U","BL","2","5","CA1 lower","6/30/2014"
"35",0,"grin","13","U","BL","2","5","CA1 lower","6/30/2014"
"36",0,"grin","13","U","BL","2","5","CA1 lower","6/30/2014"
"37",0,"grin","15","W","BL","3","5","CA1 lower","7/1/2014"
"38",18,"grin","15","W","BL","3","5","CA1 lower","7/1/2014"
"39",18,"grin","15","W","BL","3","5","CA1 lower","7/1/2014"
"40",0,"grin","4","J","BL","1","3","CA1 upper","6/28/2014"
"41",0,"grin","4","J","BL","1","3","CA1 upper","6/28/2014"
"42",0,"grin","4","J","BL","1","3","CA1 upper","6/28/2014"
"43",54,"grin","10","R","BL","2","3","CA1 upper","6/30/2014"
"44",54,"grin","10","R","BL","2","3","CA1 upper","6/30/2014"
"45",72,"grin","10","R","BL","2","3","CA1 upper","6/30/2014"
"46",0,"grin","14","V","BL","3","3","CA1 upper","7/1/2014"
"47",0,"grin","14","V","BL","3","3","CA1 upper","7/1/2014"
"48",0,"grin","14","V","BL","3","3","CA1 upper","7/1/2014"
"49",54,"grin","1","AA","BL","3","5","DG","7/1/2014"
"50",0,"grin","1","AA","BL","3","5","DG","7/1/2014"
"51",36,"grin","1","AA","BL","3","5","DG","7/1/2014"
"52",36,"grin","3","AF","BL","4","5","DG","7/1/2014"
"53",36,"grin","3","AF","BL","4","5","DG","7/1/2014"
"54",18,"grin","3","AF","BL","4","5","DG","7/1/2014"
"55",18,"grin","6","L","BL","1","5","DG","6/28/2014"
"56",36,"grin","6","L","BL","1","5","DG","6/28/2014"
"57",54,"grin","6","L","BL","1","5","DG","6/28/2014"
"58",0,"grin","11","S","BL","2","5","DG","6/30/2014"
"59",18,"grin","11","S","BL","2","5","DG","6/30/2014"
"60",36,"grin","11","S","BL","2","5","DG","6/30/2014"
"61",54,"gria","5","K","BL","1","4","CA1 lower","6/28/2014"
"62",18,"gria","5","K","BL","1","4","CA1 lower","6/28/2014"
"63",36,"gria","5","K","BL","1","4","CA1 lower","6/28/2014"
"64",36,"gria","13","U","BL","2","5","CA1 lower","6/30/2014"
"65",36,"gria","13","U","BL","2","5","CA1 lower","6/30/2014"
"66",54,"gria","13","U","BL","2","5","CA1 lower","6/30/2014"
"67",54,"gria","15","W","BL","3","5","CA1 lower","7/1/2014"
"68",36,"gria","15","W","BL","3","5","CA1 lower","7/1/2014"
"69",72,"gria","15","W","BL","3","5","CA1 lower","7/1/2014"
"70",162,"gria","4","J","BL","1","3","CA1 upper","6/28/2014"
"71",54,"gria","4","J","BL","1","3","CA1 upper","6/28/2014"
"72",90,"gria","4","J","BL","1","3","CA1 upper","6/28/2014"
"73",180,"gria","10","R","BL","2","3","CA1 upper","6/30/2014"
"74",270,"gria","10","R","BL","2","3","CA1 upper","6/30/2014"
"75",306,"gria","10","R","BL","2","3","CA1 upper","6/30/2014"
"76",0,"gria","14","V","BL","3","3","CA1 upper","7/1/2014"
"77",54,"gria","14","V","BL","3","3","CA1 upper","7/1/2014"
"78",0,"gria","14","V","BL","3","3","CA1 upper","7/1/2014"
"79",162,"gria","1","AA","BL","3","5","DG","7/1/2014"
"80",180,"gria","1","AA","BL","3","5","DG","7/1/2014"
"81",270,"gria","1","AA","BL","3","5","DG","7/1/2014"
"82",180,"gria","3","AF","BL","4","5","DG","7/1/2014"
"84",162,"gria","3","AF","BL","4","5","DG","7/1/2014"
"85",144,"gria","6","L","BL","1","5","DG","6/28/2014"
"86",108,"gria","6","L","BL","1","5","DG","6/28/2014"
"87",144,"gria","6","L","BL","1","5","DG","6/28/2014"
"88",126,"gria","11","S","BL","2","5","DG","6/30/2014"
"89",90,"gria","11","S","BL","2","5","DG","6/30/2014"
"90",126,"gria","11","S","BL","2","5","DG","6/30/2014"
