dna	cq	gene
0.04883	38.34	dlg4
0.04883	39.62	dlg4
100	26.61	dlg4
100	26.85	dlg4
100	26.67	dlg4
50	27.86	dlg4
50	27.9	dlg4
50	27.9	dlg4
25	28.96	dlg4
25	28.86	dlg4
25	29.08	dlg4
12.5	29.98	dlg4
12.5	30.33	dlg4
12.5	29.94	dlg4
6.25	31.05	dlg4
6.25	31.17	dlg4
6.25	30.98	dlg4
3.125	32.25	dlg4
3.125	32.32	dlg4
3.125	32.4	dlg4
1.5625	33.06	dlg4
1.5625	33.17	dlg4
1.5625	33.27	dlg4
0.78125	35	dlg4
0.78125	34.95	dlg4
0.39063	35.25	dlg4
0.39063	35.92	dlg4
0.39063	35.63	dlg4
0.19531	36.65	dlg4
0.19531	37.26	dlg4
0.19531	36.69	dlg4
0.09766	38.66	dlg4
0.09766	38.49	dlg4
0.09766	38.68	dlg4
0.04883	27.94	rRNA18S
0.04883	27.87	rRNA18S
0.04883	28.18	rRNA18S
0.02441	29.58	rRNA18S
0.02441	29.42	rRNA18S
0.02441	29	rRNA18S
100	16.59	rRNA18S
100	16.42	rRNA18S
100	16.46	rRNA18S
50	17.41	rRNA18S
50	17.66	rRNA18S
50	17.61	rRNA18S
25	18.55	rRNA18S
25	18.6	rRNA18S
25	18.57	rRNA18S
12.5	19.55	rRNA18S
12.5	19.7	rRNA18S
12.5	19.46	rRNA18S
6.25	20.85	rRNA18S
6.25	20.86	rRNA18S
6.25	20.66	rRNA18S
3.125	21.8	rRNA18S
3.125	21.78	rRNA18S
3.125	21.68	rRNA18S
1.5625	22.65	rRNA18S
1.5625	22.7	rRNA18S
1.5625	22.65	rRNA18S
0.78125	23.68	rRNA18S
0.78125	23.86	rRNA18S
0.78125	23.78	rRNA18S
0.39063	24.93	rRNA18S
0.39063	24.99	rRNA18S
0.39063	25.07	rRNA18S
0.19531	25.91	rRNA18S
0.19531	25.91	rRNA18S
0.19531	25.98	rRNA18S
0.09766	27.01	rRNA18S
0.09766	27.08	rRNA18S
0.09766	27.08	rRNA18S
0.04883	34.15	rpl19
0.04883	34.44	rpl19
0.04883	34.34	rpl19
0.02441	34.62	rpl19
0.02441	35.7	rpl19
0.02441	35.13	rpl19
100	22.78	rpl19
100	22.64	rpl19
100	22.71	rpl19
50	23.6	rpl19
50	23.66	rpl19
50	23.7	rpl19
25	24.89	rpl19
25	24.66	rpl19
25	24.85	rpl19
12.5	25.93	rpl19
12.5	25.87	rpl19
12.5	25.92	rpl19
6.25	26.76	rpl19
6.25	26.98	rpl19
6.25	26.85	rpl19
3.125	27.71	rpl19
3.125	27.69	rpl19
3.125	27.9	rpl19
1.5625	28.85	rpl19
1.5625	29.1	rpl19
1.5625	29.38	rpl19
0.78125	30.54	rpl19
0.78125	30.25	rpl19
0.78125	30.23	rpl19
0.39063	31.26	rpl19
0.39063	31.22	rpl19
0.39063	31.34	rpl19
0.19531	31.59	rpl19
0.19531	32.57	rpl19
0.19531	32.11	rpl19
0.09766	33.29	rpl19
0.09766	33.35	rpl19
0.09766	33.9	rpl19
0.04883	39.4	pkmz
0.04883	38.74	pkmz
0.04883	38.38	pkmz
0.02441	39.54	pkmz
100	27.55	pkmz
100	27.45	pkmz
100	27.48	pkmz
50	28.47	pkmz
50	28.48	pkmz
50	28.47	pkmz
25	29.64	pkmz
25	29.7	pkmz
25	29.8	pkmz
12.5	30.79	pkmz
12.5	30.53	pkmz
12.5	30.6	pkmz
6.25	31.46	pkmz
6.25	31.83	pkmz
6.25	31.25	pkmz
3.125	32.85	pkmz
3.125	32.87	pkmz
3.125	32.71	pkmz
1.5625	33.45	pkmz
1.5625	33.69	pkmz
1.5625	33.79	pkmz
0.78125	34.95	pkmz
0.78125	35.05	pkmz
0.78125	34.92	pkmz
0.39063	36.74	pkmz
0.39063	37.11	pkmz
0.39063	36.23	pkmz
0.19531	37.98	pkmz
0.19531	37.6	pkmz
0.19531	37.6	pkmz
0.09766	38.01	pkmz
0.09766	38.77	pkmz
0.09766	38.46	pkmz
0.04883	35.66	gria
0.04883	35.83	gria
100	25.09	gria
100	25.13	gria
50	25.88	gria
50	26.12	gria
50	26.1	gria
25	27.29	gria
25	26.96	gria
25	27.29	gria
