Mouse,Genotype,Conflict,APA,Group,Slice1,Slice2,Slice3,Slice4
16-116A,FMR1,NoConflict,Trained,FMR1 NoConflict Trained,,,,
16-116B,FMR1,NoConflict,Yoked,FMR1 NoConflict Yoked,,,,
16-116C,FMR1,Conflict,Trained,FMR1 Conflict Trained,,,,
16-116D,FMR1,Conflict,Yoked,FMR1 Conflict Yoked,,,,
16-117A,FMR1,NoConflict,Trained,FMR1 NoConflict Trained,,,,
16-117B,FMR1,NoConflict,Yoked,FMR1 NoConflict Yoked,,,,
16-117C,FMR1,Conflict,Trained,FMR1 Conflict Trained,,,,
16-117D,FMR1,Conflict,Yoked,FMR1 Conflict Yoked,,,,
16-118A,FMR1,NoConflict,Trained,FMR1 NoConflict Trained,,,,
16-118B,FMR1,NoConflict,Yoked,FMR1 NoConflict Yoked,,,,
16-118C,FMR1,Conflict,Trained,FMR1 Conflict Trained,,,,
16-118D,FMR1,Conflict,Yoked,FMR1 Conflict Yoked,,,,
16-119A,FMR1,NoConflict,Trained,FMR1 NoConflict Trained,,,,
16-119B,FMR1,NoConflict,Yoked,FMR1 NoConflict Yoked,,,,
16-119C,FMR1,Conflict,Trained,FMR1 Conflict Trained,,,,
16-119D,FMR1,Conflict,Yoked,FMR1 Conflict Yoked,,,,
16-123A,WT,NoConflict,Trained,WT NoConflict Trained,,,,
16-123B,WT,NoConflict,Yoked,WT NoConflict Yoked,,,,
16-123C,WT,Conflict,Trained,WT Conflict Trained,,,,
16-123D,WT,Conflict,Yoked,WT Conflict Yoked,,,,
16-124A,WT,NoConflict,Trained,WT NoConflict Trained,,,,
16-124B,WT,NoConflict,Yoked,WT NoConflict Yoked,,,,
16-124C,WT,Conflict,Trained,WT Conflict Trained,,,,
16-124D,WT,Conflict,Yoked,WT Conflict Yoked,,,,
16-126B,WT,NoConflict,Yoked,WT NoConflict Yoked,,,,
16-256,Htt (YAC128),NA,Trained,Htt (YAC128) Trained,,,,
16-256A,Htt (YAC128),NA,Trained,Htt (YAC128) Trained,,,,
16-257A,Htt (YAC128),NA,Trained,Htt (YAC128) Trained,,,,
16-259,Htt (YAC128),NA,Trained,Htt (YAC128) Trained,,,,
16-259A,Htt (YAC128),NA,NoShock,Htt (YAC128) NoShock,,,,
16-259B,Htt (YAC128),NA,HomeCage,Htt (YAC128) HomeCage,,,,
16-259C,Htt (YAC128),NA,Trained,Htt (YAC128) Trained,,,,
16-259D,Htt (YAC128),NA,HomeCage,Htt (YAC128) HomeCage,,,,
16-260,Htt (YAC128),NA,NoShock,Htt (YAC128) NoShock,,,,
16-260A,Htt (YAC128),NA,HomeCage,Htt (YAC128) HomeCage,,,,
16-260C,Htt (YAC128),NA,HomeCage,Htt (YAC128) HomeCage,,,,
16-261B,Htt (YAC128),NA,HomeCage,Htt (YAC128) HomeCage,,,,
16-264B,WT (FVB/NJ),NA,Trained,WT (FVB/NJ) Trained,,,,
16-264C,WT (FVB/NJ),NA,NoShock,WT (FVB/NJ) NoShock,,,,
16-265C,WT (FVB/NJ),NA,HomeCage,WT (FVB/NJ) HomeCage,,,,
16-266B,WT (FVB/NJ),NA,HomeCage,WT (FVB/NJ) HomeCage,,,,
16-266C,WT (FVB/NJ),NA,Trained,WT (FVB/NJ) Trained,,,,
16-266D,WT (FVB/NJ),NA,Trained,WT (FVB/NJ) Trained,,,,
16-267A,WT (FVB/NJ),NA,Trained,WT (FVB/NJ) Trained,,,,
16-267B,WT (FVB/NJ),NA,NoShock,WT (FVB/NJ) NoShock,,,,
16-268B,WT (FVB/NJ),NA,HomeCage,WT (FVB/NJ) HomeCage,,,,
