Tube,Mouse,Slice,Punch,Date,ready.time,start.time,Slice.collector,storagebox,notes.x
BEP,16-116A,1,slice,6/24/16,12:00,12:35,MK,Slices Box 1,
BEQ,16-116A,2,slice,6/24/16,12:00,12:35,MK,Slices Box 1,
BER,16-116A,3,slice,6/24/16,12:00,12:35,MK,Slices Box 1,
BES,16-116A,4,slice,6/24/16,12:00,12:35,MK,Slices Box 1,
BFN,16-116B,1,slice,6/24/16,15:30,20:00,MK,Slices Box 1,
BFO,16-116B,2,slice,6/24/16,16:30,20:00,MK,Slices Box 1,
BFP,16-116B,3,slice,6/24/16,17:30,20:00,MK,Slices Box 1,
BFQ,16-116B,4,slice,6/24/16,18:30,20:00,MK,Slices Box 1,
BHK,16-116C,1,slice,6/28/16,17:00,17:05,MK,Slices Box 1,
BHL,16-116C,2,slice,6/28/16,17:00,17:05,MK,Slices Box 1,
BHM,16-116C,3,slice,6/28/16,17:00,17:05,MK,Slices Box 1,
BHO,16-116C,4,slice,6/28/16,17:00,17:05,MK,Slices Box 1,
BIJ,16-116D,1,slice,6/29/16,12:45,14:20,MK,Slices Box 1,
BIK,16-116D,2,slice,6/29/16,12:45,14:20,MK,Slices Box 1,
BIL,16-116D,3,slice,6/29/16,12:45,14:20,MK,Slices Box 1,
BIM,16-116D,4,slice,6/29/16,12:45,14:20,MK,Slices Box 1,
BNC,16-117A,1,slice,7/4/16,11:00,12:50,MK,Slices Box 1,"slice 1 mangled, didn't punch ca2, ca3, dg"
BND,16-117A,2,slice,7/4/16,11:00,12:50,MK,Slices Box 1,
BNE,16-117A,3,slice,7/4/16,11:00,12:50,MK,Slices Box 1,
BNF,16-117A,4,slice,7/4/16,11:00,12:50,MK,Slices Box 1,
EDE,16-117A,5,slice,7/4/16,11:00,13:21,MK,Slices Box 2,
ECO2,16-117A,5,CA1,7/4/16,11:00,13:21,MK,Student Punches 1,
ECP,16-117A,5,CA3,7/4/16,11:00,13:21,MK,Student Punches 1,
ECQ,16-117A,5,DG,7/4/16,11:00,13:21,MK,Student Punches 1,
ECR,16-117A,5,CA4,7/4/16,11:00,13:21,MK,Student Punches 1,
BPX,16-117B,1,slice,7/6/16,11:00,11:15,MK,Slices Box 1,
BPY,16-117B,2,slice,7/6/16,11:00,11:15,MK,Slices Box 1,
BPZ,16-117B,3,slice,7/6/16,11:00,11:15,MK,Slices Box 1,
BQA,16-117B,4,slice,7/6/16,11:00,11:15,MK,Slices Box 1,
BOA,16-117C,1,slice,7/5/16,10:40,10:45,MK,Slices Box 1,
BOB,16-117C,2,slice,7/5/16,10:40,10:45,MK,Slices Box 1,
BOC,16-117C,3,slice,7/5/16,10:40,10:45,MK,Slices Box 1,
BOD,16-117C,4,slice,7/5/16,10:40,10:45,MK,Slices Box 1,
BOZ,16-117D,1,slice,7/5/16,18:00,18:01,MK,Slices Box 1,
BPA,16-117D,2,slice,7/5/16,18:00,18:01,MK,Slices Box 1,
BPB,16-117D,3,slice,7/5/16,18:00,18:01,MK,Slices Box 1,
BPC,16-117D,4,slice,7/5/16,18:00,18:01,MK,Slices Box 1,
BRA,16-118A,1,slice,7/7/16,11:00,12:39,MK,Slices Box 1,
BRB,16-118A,2,slice,7/7/16,11:00,12:39,MK,Slices Box 1,
BRC,16-118A,3,slice,7/7/16,11:00,12:39,MK,Slices Box 1,
BRD,16-118A,4,slice,7/7/16,11:00,12:39,MK,Slices Box 1,
BSD,16-118B,1,slice,7/7/16,18:45,18:57,MK,Slices Box 1,
BSE,16-118B,2,slice,7/7/16,18:45,18:57,MK,Slices Box 1,
BSF,16-118B,3,slice,7/7/16,18:45,18:57,MK,Slices Box 1,
BSG,16-118B,4,slice,7/7/16,18:45,18:57,MK,Slices Box 1,
BUA,16-118C,1,slice,7/8/16,18:20,18:59,MK,Slices Box 2,
BUB,16-118C,2,slice,7/8/16,18:20,18:59,MK,Slices Box 2,
BUC,16-118C,3,slice,7/8/16,18:20,18:59,MK,Slices Box 2,
BUD,16-118C,4,slice,7/8/16,18:20,18:59,MK,Slices Box 2,
BTE,16-118D,1,slice,7/8/16,11:55,12:45,MK,Slices Box 2,
BTF,16-118D,2,slice,7/8/16,11:55,12:45,MK,Slices Box 2,
BTG,16-118D,3,slice,7/8/16,11:55,12:45,MK,Slices Box 2,
BTH,16-118D,4,slice,7/8/16,11:55,12:45,MK,Slices Box 2,
CAP,16-119A,1,slice,7/14/16,16:40,17:20,MK,Slice Box 3,
CAQ,16-119A,2,slice,7/14/16,16:40,17:20,MK,Slice Box 3,
CAR,16-119A,3,slice,7/14/16,16:40,17:20,MK,Slice Box 3,
CAS,16-119A,4,slice,7/14/16,16:40,17:20,MK,Slice Box 3,
BZS,16-119B,1,slice,7/14/16,10:15,10:45,MK,Slice Box 3,
BZT,16-119B,2,slice,7/14/16,10:15,10:45,MK,Slice Box 3,
BZU,16-119B,3,slice,7/14/16,10:15,10:45,MK,Slice Box 3,
CBN,16-119C,1,slice,7/15/16,,,MK,Slice Box 3,
CBO,16-119C,2,slice,7/15/16,,,MK,Slice Box 3,
CBP,16-119C,3,slice,7/15/16,,,MK,Slice Box 3,
CBQ,16-119C,4,slice,7/15/16,,,MK,Slice Box 3,
CCK,16-119D,1,slice,7/15/16,,,MK,Slice Box 3,
CCL,16-119D,2,slice,7/15/16,,,MK,Slice Box 3,
CCM,16-119D,3,slice,7/15/16,,,MK,Slice Box 3,
BKF,16-123A,1,slice,7/2/16,12:15,12:28,MK,Slices Box 1,
BKG,16-123A,2,slice,7/2/16,12:15,12:28,MK,Slices Box 1,
BKH,16-123A,3,slice,7/2/16,12:15,12:28,MK,Slices Box 1,
BKI,16-123A,4,slice,7/2/16,12:15,12:28,MK,Slices Box 1,
EBG,16-123A,5,slice,7/3/16,12:15,13:09,MK,Slices Box 2,
EAC,16-123A,5,CA2,7/2/16,12:15,13:09,MK,Student Punches 1,
EAD,16-123A,5,CA3,7/2/16,12:15,13:09,MK,Student Punches 1,
EAE,16-123A,5,CA3,7/2/16,12:15,13:09,MK,Student Punches 1,
EAG,16-123A,5,DG,7/2/16,12:15,13:09,MK,Student Punches 1,
EAA,16-123A,5,CA1,7/2/16,12:15,13:09,MK,Student Punches 1,
EAB,16-123A,5,CA1,7/2/16,12:15,13:09,MK,Student Punches 1,
BJH,16-123B,1,slice,7/1/16,15:20,15:30,MK,Slices Box 1,
BJI,16-123B,2,slice,7/1/16,15:20,15:30,MK,Slices Box 1,
BJJ,16-123B,3,slice,7/1/16,15:20,15:30,MK,Slices Box 1,
BJK,16-123B,4,slice,7/1/16,15:20,15:30,MK,Slices Box 1,
BLE,16-123C,1,slice,7/3/16,12:10,12:24,MK,Slices Box 1,
BLF,16-123C,2,slice,7/3/16,12:10,12:24,MK,Slices Box 1,
BLG,16-123C,3,slice,7/3/16,12:10,12:24,MK,Slices Box 1,
BLH,16-123C,4,slice,7/3/16,12:10,12:24,MK,Slices Box 1,
EBM,16-123C,5,DG,7/3/16,11:00,12:40,MK,Student Punches 1,
EBN,16-123C,5,CA1,7/3/16,11:00,12:40,MK,Student Punches 1,
EBO,16-123C,5,CA2,7/3/16,11:00,12:40,MK,Student Punches 1,
BMD,16-123D,1,slice,7/3/16,23:00,23:05,MK,Slices Box 1,
BME,16-123D,2,slice,7/3/16,23:00,23:05,MK,Slices Box 1,
BMF,16-123D,3,slice,7/3/16,23:00,23:05,MK,Slices Box 1,
BMG,16-123D,4,slice,7/3/16,23:00,23:05,MK,Slices Box 1,
ECN,16-123D,5,slice,7/3/16,23:00,23:30,MK,Slices Box 2,
EBU,16-123D,5,DG,7/3/16,23:00,23:30,MK,Student Punches 1,
EBV,16-123D,5,CA1,7/3/16,23:00,23:30,MK,Student Punches 1,
EBW,16-123D,5,CA3,7/3/16,23:00,23:30,MK,Student Punches 1,
EBX,16-123D,5,CA2,7/3/16,23:00,23:30,MK,Student Punches 1,
BWU,16-124A,1,slice,7/9/16,17:00,17:23,MK,Slices Box 2,
BWV,16-124A,2,slice,7/9/16,17:00,17:23,MK,Slices Box 2,
BWW,16-124A,3,slice,7/9/16,17:00,17:23,MK,Slices Box 2,
BWX,16-124A,4,slice,7/9/16,17:00,17:23,MK,Slices Box 2,
BUY,16-124B,1,slice,7/9/16,21:50,21:59,MK,Slices Box 2,
BUZ,16-124B,2,slice,7/9/16,21:50,21:59,MK,Slices Box 2,
BWA,16-124B,3,slice,7/9/16,21:50,21:59,MK,Slices Box 2,
BWB,16-124B,4,slice,7/9/16,21:50,21:59,MK,Slices Box 2,
BYU,16-124C,1,slice,7/13/16,23:45,0:15,MK,Slice Box 3,
BYV,16-124C,2,slice,7/13/16,23:45,0:15,MK,Slice Box 3,
BYW,16-124C,3,slice,7/13/16,23:45,0:15,MK,Slice Box 3,
BYX,16-124C,4,slice,7/13/16,23:45,0:15,MK,Slice Box 3,
BXT,16-124D,2,slice,7/13/16,10:10,10:30,MK,Slice Box 2,
BXW,16-124D,3,slice,7/13/16,10:10,10:30,MK,Slice Box 2,
BXX,16-124D,4,slice,7/13/16,10:10,10:30,MK,Slice Box 2,
