tube	mouse	slice	punch	notes	date	ready.time	start.time	end.time	collector	region
EAA	16-123A	5	CA1		7/2/16	12:15	13:09	13:30	RMH	hippocampus
EAB	16-123A	5	CA1		7/2/16	12:15	13:09	13:30	RMH	hippocampus
EAC	16-123A	5	CA2		7/2/16	12:15	13:09	13:30	RMH	hippocampus
EAD	16-123A	5	CA3		7/2/16	12:15	13:09	13:30	RMH	hippocampus
EAE	16-123A	5	CA3		7/2/16	12:15	13:09	13:30	RMH	hippocampus
EAF	16-123A	5	CA		7/2/16	12:15	13:09	13:30	RMH	hippocampus
EAG	16-123A	5	DG		7/2/16	12:15	13:09	13:30	RMH	hippocampus
EAH	16-123A	5	mossy right		7/2/16	12:15	13:09	13:30	RMH	mossycells
EAI	16-123A	5	mossy middle		7/2/16	12:15	13:09	13:30	RMH	mossycells
EAJ	16-123A	5	mossy left		7/2/16	12:15	13:09	13:30	RMH	mossycells
EAK	16-123A	5	1		7/2/16	12:15	13:09	13:30	RMH	outside
EAL	16-123A	5	2		7/2/16	12:15	13:09	13:30	RMH	outside
EAM	16-123A	5	3		7/2/16	12:15	13:09	13:30	RMH	outside
EAN	16-123A	5	4		7/2/16	12:15	13:09	13:30	RMH	outside
EAO	16-123A	5	5		7/2/16	12:15	13:09	13:30	RMH	outside
EAP	16-123A	5	6		7/2/16	12:15	13:09	13:30	RMH	outside
EAQ	16-123A	5	7		7/2/16	12:15	13:09	13:30	RMH	outside
EAR	16-123A	5	8		7/2/16	12:15	13:09	13:30	RMH	outside
EAS	16-123A	5	9		7/2/16	12:15	13:09	13:30	RMH	outside
EAT	16-123A	5	10		7/2/16	12:15	13:09	13:30	RMH	outside
EAU	16-123A	5	11		7/2/16	12:15	13:09	13:30	RMH	outside
EAV	16-123A	5	12		7/2/16	12:15	13:09	13:30	RMH	outside
EAW	16-123A	5	13		7/2/16	12:15	13:09	13:30	RMH	outside
EAX	16-123A	5	14		7/2/16	12:15	13:09	13:30	RMH	outside
EAY	16-123A	5	15		7/2/16	12:15	13:09	13:30	RMH	inside
EAZ	16-123A	5	16		7/2/16	12:15	13:09	13:30	RMH	inside
EBA	16-123A	5	17		7/2/16	12:15	13:09	13:30	RMH	inside
EBB	16-123A	5	18		7/2/16	12:15	13:09	13:30	RMH	inside
EBC	16-123A	5	19		7/2/16	12:15	13:09	13:30	RMH	inside
EBD	16-123A	5	20		7/2/16	12:15	13:09	13:30	RMH	inside
EBE	16-123A	5	21		7/2/16	12:15	13:09	13:30	RMH	inside
EBF	16-123A	5	22		7/2/16	12:15	13:09	13:30	RMH	inside
EBG	16-123A	5	slice		7/2/16	12:15	13:09	13:30	RMH	slice
EBH	16-123C	5	mossy right		7/3/16	11:00	12:40	12:50	RMH	mossycells
EBJ	16-123C	5	mossy middle left		7/3/16	11:00	12:40	12:50	RMH	mossycells
EBK	16-123C	5	mossy middle right		7/3/16	11:00	12:40	12:50	RMH	mossycells
EBL	16-123C	5	mossy left		7/3/16	11:00	12:40	12:50	RMH	mossycells
EBM	16-123C	5	DG		7/3/16	11:00	12:40	12:50	RMH	hippocampus
EBN	16-123C	5	CA1		7/3/16	11:00	12:40	12:50	RMH	hippocampus
EBO	16-123C	5	CA2		7/3/16	11:00	12:40	12:50	RMH	hippocampus
EBP	16-123C	5	18		7/3/16	11:00	12:40	12:50	RMH	inside
EBQ	16-123C	5	19		7/3/16	11:00	12:40	12:50	RMH	inside
EBR	16-123C	5	20		7/3/16	11:00	12:40	12:50	RMH	inside
EBS	16-123C	5	22		7/3/16	11:00	12:40	12:50	RMH	inside
EBT	16-123C	5	17		7/3/16	23:00	23:30	23:45	RMH	inside
EBU	16-123D	5	DG		7/3/16	23:00	23:30	23:45	RMH	hippocampus
EBV	16-123D	5	CA1		7/3/16	23:00	23:30	23:45	RMH	hippocampus
EBW	16-123D	5	CA3		7/3/16	23:00	23:30	23:45	RMH	hippocampus
EBX	16-123D	5	CA2		7/3/16	23:00	23:30	23:45	RMH	hippocampus
EBY	16-123D	5	CA		7/3/16	23:00	23:30	23:45	RMH	hippocampus
EBZ	16-123D	5	mossy right		7/3/16	23:00	23:30	23:45	RMH	mossycells
ECB	16-123D	5	mossy left		7/3/16	23:00	23:30	23:45	RMH	mossycells
ECC	16-123D	5	1		7/3/16	23:00	23:30	23:45	RMH	outside
ECD	16-123D	5	2		7/3/16	23:00	23:30	23:45	RMH	outside
ECE	16-123D	5	18		7/3/16	23:00	23:30	23:45	RMH	inside
ECF	16-123D	5	19		7/3/16	23:00	23:30	23:45	RMH	inside
ECG	16-123D	5	20		7/3/16	23:00	23:30	23:45	RMH	inside
ECH	16-123D	5	21		7/3/16	23:00	23:30	23:45	RMH	inside
