Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,PRFLOW,HIGHSD,OUTLIERRG,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,BHK,CREB,UNKNOWN,SYBR,None,25.084,25.023,0.101,,,,,,,,TRUE,1.255,TRUE,3,18,Amp,,0.979,N,N,N,81.152,,,
2,A2,FALSE,BHK,CREB,UNKNOWN,SYBR,None,25.080,25.023,0.101,,,,,,,,TRUE,1.255,TRUE,3,18,Amp,,0.988,N,N,N,81.152,,,
3,A3,FALSE,BHK,CREB,UNKNOWN,SYBR,None,24.907,25.023,0.101,,,,,,,,TRUE,1.255,TRUE,3,18,Amp,,0.987,N,N,N,81.152,,,
4,A4,FALSE,BHM,CREB,UNKNOWN,SYBR,None,24.351,24.507,0.211,,,,,,,,TRUE,1.255,TRUE,3,18,Amp,,0.988,N,N,N,81.152,,,
5,A5,FALSE,BHM,CREB,UNKNOWN,SYBR,None,24.424,24.507,0.211,,,,,,,,TRUE,1.255,TRUE,3,18,Amp,,0.993,N,N,N,81.152,,,
6,A6,FALSE,BHM,CREB,UNKNOWN,SYBR,None,24.747,24.507,0.211,,,,,,,,TRUE,1.255,TRUE,3,18,Amp,,0.991,N,N,N,81.152,,,
7,A7,FALSE,BHK,PrkcZ,UNKNOWN,SYBR,None,27.484,27.457,0.107,,,,,,,,TRUE,0.838,TRUE,3,20,Amp,,0.988,N,N,N,86.405,,,
8,A8,FALSE,BHK,PrkcZ,UNKNOWN,SYBR,None,27.338,27.457,0.107,,,,,,,,TRUE,0.838,TRUE,3,20,Amp,,0.986,N,N,N,86.405,,,
9,A9,FALSE,BHK,PrkcZ,UNKNOWN,SYBR,None,27.548,27.457,0.107,,,,,,,,TRUE,0.838,TRUE,3,20,Amp,,0.960,N,N,N,86.405,,,
10,A10,FALSE,BHM,PrkcZ,UNKNOWN,SYBR,None,26.744,27.087,0.332,,,,,,,,TRUE,0.838,TRUE,3,20,Amp,,0.993,N,N,N,86.267,,,
11,A11,FALSE,BHM,PrkcZ,UNKNOWN,SYBR,None,27.406,27.087,0.332,,,,,,,,TRUE,0.838,TRUE,3,21,Amp,,0.994,N,N,N,86.958,,,
12,A12,FALSE,BHM,PrkcZ,UNKNOWN,SYBR,None,27.112,27.087,0.332,,,,,,,,TRUE,0.838,TRUE,3,21,Amp,,0.981,N,N,N,86.820,,,
13,B1,FALSE,BOA,CREB,UNKNOWN,SYBR,None,24.492,24.547,0.049,,,,,,,,TRUE,1.255,TRUE,3,17,Amp,,0.985,N,N,N,81.152,,,
14,B2,FALSE,BOA,CREB,UNKNOWN,SYBR,None,24.561,24.547,0.049,,,,,,,,TRUE,1.255,TRUE,3,17,Amp,,0.995,N,N,N,81.152,,,
15,B3,FALSE,BOA,CREB,UNKNOWN,SYBR,None,24.588,24.547,0.049,,,,,,,,TRUE,1.255,TRUE,3,17,Amp,,0.990,N,N,N,81.014,,,
16,B4,FALSE,BOC,CREB,UNKNOWN,SYBR,None,24.449,24.483,0.031,,,,,,,,TRUE,1.255,TRUE,3,17,Amp,,0.987,N,N,N,81.152,,,
17,B5,FALSE,BOC,CREB,UNKNOWN,SYBR,None,24.489,24.483,0.031,,,,,,,,TRUE,1.255,TRUE,3,17,Amp,,0.984,N,N,N,81.152,,,
18,B6,FALSE,BOC,CREB,UNKNOWN,SYBR,None,24.510,24.483,0.031,,,,,,,,TRUE,1.255,TRUE,3,17,Amp,,0.988,N,N,N,80.875,,,
19,B7,FALSE,BOA,PrkcZ,UNKNOWN,SYBR,None,27.364,27.435,0.085,,,,,,,,TRUE,0.838,TRUE,3,19,Amp,,0.992,N,N,N,86.405,,,
20,B8,FALSE,BOA,PrkcZ,UNKNOWN,SYBR,None,27.529,27.435,0.085,,,,,,,,TRUE,0.838,TRUE,3,20,Amp,,0.993,N,N,N,86.405,,,
