Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,MTP,EXPFAIL,HIGHSD,NOAMP,OUTLIERRG,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,16384,Hdac2,STANDARD,SYBR,None,19.732,19.717,0.014,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,16,Amp,,0.637,N,N,N,N,N,80.855,,,
2,A2,FALSE,16384,Hdac2,STANDARD,SYBR,None,19.716,19.717,0.014,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,15,Amp,,0.639,N,N,N,N,N,80.994,,,
3,A3,FALSE,16384,Hdac2,STANDARD,SYBR,None,19.703,19.717,0.014,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,15,Amp,,0.628,N,N,N,N,N,80.855,,,
7,A7,FALSE,16384,Bdnf,STANDARD,SYBR,None,24.938,25.013,0.107,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,18,Amp,,0.957,N,N,N,N,N,86.694,,,
8,A8,FALSE,16384,Bdnf,STANDARD,SYBR,None,25.136,25.013,0.107,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,18,Amp,,0.950,N,N,N,N,N,86.833,,,
9,A9,FALSE,16384,Bdnf,STANDARD,SYBR,None,24.966,25.013,0.107,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,18,Amp,,0.955,N,N,N,N,N,86.694,,,
14,B2,FALSE,4096,Hdac2,STANDARD,SYBR,None,21.651,21.675,0.034,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,17,Amp,,0.721,N,N,N,N,N,80.994,,,
15,B3,FALSE,4096,Hdac2,STANDARD,SYBR,None,21.699,21.675,0.034,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,17,Amp,,0.712,N,N,N,N,N,80.994,,,
19,B7,FALSE,4096,Bdnf,STANDARD,SYBR,None,27.150,27.191,0.280,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,20,Amp,,0.974,N,N,N,N,N,86.833,,,
20,B8,FALSE,4096,Bdnf,STANDARD,SYBR,None,27.490,27.191,0.280,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,20,Amp,,0.976,N,N,N,N,N,86.694,,,
21,B9,FALSE,4096,Bdnf,STANDARD,SYBR,None,26.935,27.191,0.280,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,20,Amp,,0.977,N,N,N,N,N,86.694,,,
25,C1,FALSE,1024,Hdac2,STANDARD,SYBR,None,23.876,24.032,0.259,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,19,Amp,,0.818,N,N,N,N,N,80.994,,,
26,C2,FALSE,1024,Hdac2,STANDARD,SYBR,None,23.888,24.032,0.259,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,19,Amp,,0.820,N,N,N,N,N,80.994,,,
27,C3,FALSE,1024,Hdac2,STANDARD,SYBR,None,24.331,24.032,0.259,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,19,Amp,,0.833,N,N,N,N,Y,80.855,,,
31,C7,FALSE,1024,Bdnf,STANDARD,SYBR,None,29.334,29.304,0.083,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,22,Amp,,0.977,N,N,N,N,N,86.833,,,
32,C8,FALSE,1024,Bdnf,STANDARD,SYBR,None,29.368,29.304,0.083,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,22,Amp,,0.978,N,N,N,N,N,86.833,,,
33,C9,FALSE,1024,Bdnf,STANDARD,SYBR,None,29.210,29.304,0.083,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,22,Amp,,0.977,N,N,N,N,N,86.416,,,
37,D1,FALSE,256,Hdac2,STANDARD,SYBR,None,26.182,26.394,0.188,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,22,Amp,,0.979,N,N,N,N,N,80.994,,,
38,D2,FALSE,256,Hdac2,STANDARD,SYBR,None,26.545,26.394,0.188,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,22,Amp,,0.982,N,N,N,N,N,80.994,,,
39,D3,FALSE,256,Hdac2,STANDARD,SYBR,None,26.453,26.394,0.188,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,22,Amp,,0.978,N,N,N,N,N,80.994,,,
43,D7,FALSE,256,Bdnf,STANDARD,SYBR,None,32.651,32.764,0.161,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,25,Amp,,0.975,N,N,N,N,N,86.833,,,
44,D8,FALSE,256,Bdnf,STANDARD,SYBR,None,32.878,32.764,0.161,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,25,Amp,,0.975,N,N,N,N,N,86.833,,,
49,E1,FALSE,64,Hdac2,STANDARD,SYBR,None,29.656,29.059,0.547,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,25,Amp,,0.971,N,N,Y,N,N,81.133,,,
50,E2,FALSE,64,Hdac2,STANDARD,SYBR,None,28.582,29.059,0.547,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,24,Amp,,0.981,N,N,Y,N,N,80.994,,,
51,E3,FALSE,64,Hdac2,STANDARD,SYBR,None,28.939,29.059,0.547,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,24,Amp,,0.978,N,N,Y,N,N,80.994,,,
56,E8,FALSE,64,Bdnf,STANDARD,SYBR,None,34.589,34.544,0.064,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,27,Amp,,0.967,N,N,N,N,N,86.972,,,
57,E9,FALSE,64,Bdnf,STANDARD,SYBR,None,34.498,34.544,0.064,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,27,Amp,,0.966,N,N,N,N,N,86.416,,,
61,F1,FALSE,16,Hdac2,STANDARD,SYBR,None,32.868,32.753,0.163,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,28,Amp,,0.994,N,N,N,N,N,81.133,,,
63,F3,FALSE,16,Hdac2,STANDARD,SYBR,None,32.637,32.753,0.163,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.139,TRUE,3,28,Amp,,0.963,N,N,N,N,N,81.133,,,
67,F7,FALSE,16,Bdnf,STANDARD,SYBR,None,-1,,,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,N,86.833,91.421,81.272,73.208
69,F9,FALSE,16,Bdnf,STANDARD,SYBR,None,-1,,,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.920,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,86.833,81.411,76.128,78.352
